doid	name
DOID:2531	hematologic cancer
DOID:1319	brain cancer
DOID:1324	lung cancer
DOID:263	kidney cancer
DOID:1793	pancreatic cancer
DOID:4159	skin cancer
DOID:184	bone cancer
DOID:0060119	pharynx cancer
DOID:2394	ovarian cancer
DOID:1612	breast cancer
DOID:3070	malignant glioma
DOID:363	uterine cancer
DOID:3953	adrenal gland cancer
DOID:5041	esophageal cancer
DOID:8850	salivary gland cancer
DOID:10283	prostate cancer
DOID:10534	stomach cancer
DOID:11054	urinary bladder cancer
DOID:1192	peripheral nervous system neoplasm
DOID:1781	thyroid cancer
DOID:3571	liver cancer
DOID:4362	cervical cancer
DOID:119	vaginal cancer
DOID:11934	head and neck cancer
DOID:1993	rectum cancer
DOID:2174	ocular cancer
DOID:219	colon cancer
DOID:2596	larynx cancer
DOID:2994	germ cell cancer
DOID:3277	thymus cancer
DOID:4045	muscle cancer
DOID:0060073	lymphatic system cancer
DOID:10021	duodenum cancer
DOID:10153	ileum cancer
DOID:10811	nasal cavity cancer
DOID:1115	sarcoma
DOID:11239	appendix cancer
DOID:11615	penile cancer
DOID:11819	ureter cancer
DOID:11920	tracheal cancer
DOID:1245	vulva cancer
DOID:13499	jejunal cancer
DOID:1725	peritoneum cancer
DOID:175	vascular cancer
DOID:1790	malignant mesothelioma
DOID:1909	melanoma
DOID:1964	fallopian tube cancer
DOID:2998	testicular cancer
DOID:3121	gallbladder cancer
DOID:3565	meningioma
DOID:4606	bile duct cancer
DOID:5099	middle ear cancer
DOID:5559	mediastinal cancer
DOID:5612	spinal cancer
DOID:5875	retroperitoneal cancer
DOID:9917	pleural cancer
DOID:8778	Crohn's disease
DOID:2377	multiple sclerosis
DOID:9352	type 2 diabetes mellitus
DOID:8577	ulcerative colitis
DOID:9744	type 1 diabetes mellitus
DOID:7148	rheumatoid arthritis
DOID:3393	coronary artery disease
DOID:9970	obesity
DOID:10608	celiac disease
DOID:9074	systemic lupus erythematosus
DOID:9835	refractive error
DOID:12236	primary biliary cirrhosis
DOID:12306	vitiligo
DOID:10871	age related macular degeneration
DOID:14221	metabolic syndrome X
DOID:2841	asthma
DOID:8893	psoriasis
DOID:5419	schizophrenia
DOID:6364	migraine
DOID:10652	Alzheimer's disease
DOID:12361	Graves' disease
DOID:14330	Parkinson's disease
DOID:3310	atopic dermatitis
DOID:3312	bipolar disorder
DOID:7147	ankylosing spondylitis
DOID:11612	polycystic ovary syndrome
DOID:10763	hypertension
DOID:418	systemic scleroderma
DOID:13241	Behcet's disease
DOID:5408	Paget's disease of bone
DOID:1024	leprosy
DOID:10941	intracranial aneurysm
DOID:1686	glaucoma
DOID:332	amyotrophic lateral sclerosis
DOID:0050425	restless legs syndrome
DOID:13378	Kawasaki disease
DOID:1936	atherosclerosis
DOID:986	alopecia areata
DOID:11476	osteoporosis
DOID:1459	hypothyroidism
DOID:2986	IgA glomerulonephritis
DOID:0050741	alcohol dependence
DOID:11949	Creutzfeldt-Jakob disease
DOID:14227	azoospermia
DOID:1826	epilepsy syndrome
DOID:2043	hepatitis B
DOID:3083	chronic obstructive pulmonary disease
DOID:7693	abdominal aortic aneurysm
DOID:784	chronic kidney failure
DOID:8398	osteoarthritis
DOID:9008	psoriatic arthritis
DOID:0050742	nicotine dependence
DOID:10976	membranous glomerulonephritis
DOID:11714	gestational diabetes
DOID:12365	malaria
DOID:12849	autistic disorder
DOID:12930	dilated cardiomyopathy
DOID:13189	gout
DOID:13223	uterine fibroid
DOID:14268	sclerosing cholangitis
DOID:8986	narcolepsy
DOID:90	degenerative disc disease
DOID:9296	cleft lip
DOID:0050156	idiopathic pulmonary fibrosis
DOID:1094	attention deficit hyperactivity disorder
DOID:11119	Gilles de la Tourette syndrome
DOID:14004	thoracic aortic aneurysm
DOID:1595	endogenous depression
DOID:4481	allergic rhinitis
DOID:4989	pancreatitis
DOID:585	nephrolithiasis
DOID:824	periodontitis
DOID:9206	Barrett's esophagus
DOID:11555	Fuchs' endothelial dystrophy
DOID:12185	otosclerosis
DOID:12995	conduct disorder
DOID:1312	focal segmental glomerulosclerosis
DOID:216	dental caries
DOID:2355	anemia
DOID:594	panic disorder
DOID:635	acquired immunodeficiency syndrome
DOID:0050461	Aspartylglucosaminuria
DOID:0050441	Multiple sulfatase deficiency
DOID:3633	Beta-mannosidosis
DOID:0060274	Pontocerebellar hypoplasia type 5
DOID:0060273	Pontocerebellar hypoplasia type 4
DOID:0060275	Pontocerebellar hypoplasia type 6
DOID:0050464	Farber disease
