doid_id,drugbank_id,disease,drug,drug_qid
DOID:14261,,fragile x syndrome,"(-)-(3aR,4S,7aR)-4-Hydroxy-4-m-tolylethynyl-octahydro-indole-1-carboxylic acid methyl ester",Q6589598
DOID:1206,,rett syndrome,"(2,2-diphenyl-tetrahydro-furan-3-yl-methyl)-dimethylamine hydrochloride",Q27252594
DOID:9538,,multiple myeloma,(2-((2-chlorophenyl)(phenyl)amino)-N-(7-(hydroxyamino)-7-oxoheptyl)pyrimidine-5-carboxamide),Q27258687
DOID:418,,systemic sclerosis,"(2-(2-chlorophenyl)-4-[3-(dimethylamino)phenyl]-5-methyl-1h-pyrazolo [4,3-c] pyridine-3,6(2h,5h)-dione)",Q27258840
DOID:1926,,gaucher disease,"(3S)-1-azabicyclo[2.2.2]oct-3-yl {2-[2-(4-fluorophenyl)-1,3-thiazol-4-yl]propan-2-yl}carbamate",Q27274745
DOID:9240,,erythromelalgia,"(5R)-5-(4-{[(2-fluorophenyl)methyl]oxy}phenyl)-L-prolinamide, hydrochloride",Q27268497
DOID:2957,,pulmonary tuberculosis,"(R)-2-methyl-6-nitro-2-{4-[4-(4-trifluoromethoxyphenoxy)piperidin-1-yl]phenoxymethyl}-2,3-dihydroimidazo[2,1-b]oxazole",Q15408413
DOID:9538,,multiple myeloma,"(R)-4-(3-morpholin-4-yl-1-phenylsulfanylmethyl-propylamino)-N-(4-{4-[2-(4-chlorophenyl)-5,5-dimethylcyclohex-1-enylmethyl]-piperazin-1-yl}-benzoyl)-3-trifluoromethanesulfonylbenzenesulfonamide bis-hydrochloride",Q27292463
DOID:9119,,acute myeloid leukemia,"(S)-1-(6,7-Dihydro-5H-benzo[6,7]cyclohepta[1,2-c]pyridazin-3-yl)-N3-(7-(pyrrolidin-1-yl)-6,7,8,9-tetrahydro-5H-benzo[7]annulen-2-yl)-1H-1,2,4-triazole-3,5-diamine",Q27236818
DOID:0050873,,follicular lymphoma,(S)-3-(1-(9H-purin-6-ylamino)ethyl)-8-chloro-2-phenylisoquinolin-1(2H)-one,Q27077129
DOID:0050746,,mantle cell lymphoma,"(S)-4-(8-amino-3-(1-but-2-ynoylpyrrolidin-2-yl)-imidazo[1,5-a]pyrazine-1-yl)-N-(pyridine-2-yl)-benzamide",Q23668732
DOID:8567,,hodgkin lymphoma,"(S)-7-(1-(9H-purin-6-ylamino)ethyl)-6-(3-fluorophenyl)-3-methyl-5H-thiazolo[3,2-a]pyrimidin-5-one",Q27254856
DOID:418,,systemic sclerosis,1-(6-benzothiazolylsulfonyl)-5-chloro-1H-indole-2-butanoic acid,Q27896056
DOID:9119,,acute myeloid leukemia,1-Cyclopropyl-3-[3-(5-morpholin-4-ylmethyl-1H-benzoimidazol-2-yl)-1H-pyrazol-4-yl]-urea,Q27453557
DOID:0050156,,idiopathic pulmonary fibrosis,"2-(2-chlorophenyl)-4-[3-(dimethylamino)phenyl]-5-methyl-1H-pyrazolo[4,3-C]pyridine-3,6(2H,5H)-dione",Q27258840
DOID:3070,,malignant glioma,2-chloroethyl-3-sarcosinamide-1-nitrosourea,Q27274664
DOID:9538,,multiple myeloma,2-methoxyestradiol,Q4596897
DOID:2394,,ovarian cancer,2-methoxyestradiol,Q4596897
DOID:684,DB00448,hepatocellular carcinoma,"2-[(3-methyl-4-(2,2,2-trifluoroethoxy) pyridin-2-yl)methylsulfinyl] -1H-benzoimidazole",Q254296
DOID:635,,acquired immunodeficiency syndrome,"3'-azido-2',3'dideoxyuridine",Q27286725
DOID:0050214,,lambert-eaton myasthenic syndrome,"3,4-diaminopyridine",Q411707
DOID:0050631,,allan-herndon-dudley syndrome,"3,5-diiodothyropropionic acid",Q27252433
DOID:0060175,,succinic semialdehyde dehydrogenase deficiency,3-aminopropyl-butyl phosphinic acid,Q27075900
DOID:1793,,pancreatic cancer,3-bromopyruvate,Q27073726
DOID:1206,,rett syndrome,3-chloro-4-fluorophenyl-[4-fluoro-4-[[(5-methylpyrimidin-2-ylmethyl)amino]methyl]piperidin-1yl]methanone,Q5423588
DOID:1932,DB06554,angelman syndrome,"4,5,6,7-tetrahydroisoxazolo(5,4-c)pyridin-3-ol",Q4130924
DOID:12858,,huntington's disease,4-(3-Methanesulfonyl-phenyl)-1-propylpiperidine HCl,Q27287263
DOID:0050745,DB11581,diffuse large b-cell lymphoma,"4-(4-{[2-(4-chlorophenyl)-4,4-dimethylcyclohex-1-en-1-yl]methyl}piperazin-1-yl)-N-({3-nitro-4-[(tetrahydro-2H-pyran-4-ylmethyl)amino]phenyl}sulfonyl)-2-(1H-pyrrolo[2,3-b]pyridin-5-yloxy)benzamide",Q23671272
DOID:3070,,glioma,4-[131I]iodo-L-phenylalanine,Q27263179
DOID:9119,,acute myeloid leukemia,"4-{[(2R,3S,4R,5S)-4-(4-Chloro-2-fluoro-phenyl)-3-(3-chloro-2-fluoro-phenyl)-4-cyano-5-(2,2-dimethyl-propyl)-pyrrolidine-2-carbonyl]-amino}-3-methoxy-benzoic acid",Q27287480
DOID:1790,,malignant mesothelioma,"5,6-dihydro-5-azacytidine",Q27236168
DOID:678,,progressive supranuclear palsy,"5-(3-ethyl-1,2,4-oxadiazol-5-yl)-1,4,5,6-tetrahydropyrimidine hydrochloride",Q27265266
DOID:12603,DB01262,acute leukemia,5-aza-2'-deoxycytidine,Q1181878
DOID:3687,DB02709,melas syndrome,"5-[(E)-2-(4-hydroxyphenyl)-ethenyl] benzene-1,3 diol",Q407329
DOID:12377,,spinal muscular atrophy,"5-[1-(2,6-Dichlorobenzyl)-piperidin-4-yl]methoxyquinazoline-2,4-diamine",Q27282418
DOID:1790,,malignant mesothelioma,5-[8-methyl-9-(1-methylethyl)-2-(4-morpholinyl)-9H-purin-6yl]-2-pyrimidinamine,Q27089164
DOID:9119,,acute myeloid leukemia,"6,8-bis-benzylsulfanyl-octanoic acid",Q27276958
DOID:1793,,pancreatic cancer,"6,8-bis-benzylsulfanyl-octanoic acid",Q27276958
DOID:0050908,,myelodysplastic syndrome,"6,8-bis-benzylsulfanyl-octanoic acid",Q27276958
DOID:4947,,cholangiocarcinoma,"6-methoxy-3-(3',4',5'-trimethoxybenzoyl) indole",Q27292488
DOID:1485,,cystic fibrosis,"8 Cyclopentyl 1,3-dipropylxanthine",Q5280076
DOID:3068,,glioblastoma multiforme,8-(1-Hydroxy-ethyl)-2-methoxy-3-(4-methoxy-benzyloxy)-benzo[c]chromen-6-one,Q27294013
DOID:0080162,,lupus nephritis,Abetimus,Q4667244
DOID:1040,DB04944,chronic lymphocytic leukemia,acadesine,Q4671562
DOID:9538,DB04944,multiple myeloma,acadesine,Q4671562
DOID:14261,DB00659,fragile x syndrome,acamprosate,Q337668
DOID:3429,,hereditary inclusion body myopathy,aceneuramic acid,Q27120624
