long_drug,cas_no,db_name,dbid,ind,doid,ind_type,long_ind
111Indium pentetreotide,,,,neuroendocrine tumor,doid:169,original,Indium In-111 interdependent is an agent for the scintigraphic localization of primary and metastatic neuroendocrine tumors bearing somatostatin receptors.
111Indium pentetreotide,,,,neuroendocrine tumor,doid:169,repositioned,Treatment of neuroendocrine tumors 
4-aminosalicylic acid,65-49-6,Aminosalicylic Acid,DB00233,tuberculosis,doid:399,original,Treatment of tuberculosis
4-aminosalicylic acid,65-49-6,Aminosalicylic Acid,DB00233,Crohn's disease,doid:8778,repositioned,Treatment of Crohn's disease.
4-aminosalicylic acid,65-49-6,Aminosalicylic Acid,DB00233,ulcerative colitis,doid:8577,repositioned,Treatment of mild to moderate ulcerative colitis in patients intolerant to sulfasalazine.
Adalimumab,331731-18-1,Adalimumab,DB00051,rheumatoid arthritis,doid:7148,original,"1. Rheumatoid Arthritis - Reducing signs and symptoms, inducing major clinical response, inhibiting the progression of structural damage, and improving physical function in adult patients with moderately to severely active disease. 2. Psoriatic Arthritis - Reducing signs and symptoms of active arthritis, inhibiting the progression of structural damage, and improving physical function. 3. Ankylosing Spondylitis - Reducing signs and symptoms in patients with active disease. 4. Crohn_s Disease - Reducing signs and symptoms and inducing and maintaining clinical remission in adult patients with moderately to severely active Crohn_s disease who have had an inadequate response to conventional therapy. Reducing signs and symptoms and inducing clinical remission in these patients if they have also lost response to or are intolerant to infliximab. 5. Plaque Psoriasis - The treatment of adult patients with moderate to severe chronic plaque psoriasis who are candidates for systemic therapy or phototherapy, and when other systemic therapies are medically less appropriate."
Adalimumab,331731-18-1,Adalimumab,DB00051,psoriatic arthritis,doid:9008,original,"1. Rheumatoid Arthritis - Reducing signs and symptoms, inducing major clinical response, inhibiting the progression of structural damage, and improving physical function in adult patients with moderately to severely active disease. 2. Psoriatic Arthritis - Reducing signs and symptoms of active arthritis, inhibiting the progression of structural damage, and improving physical function. 3. Ankylosing Spondylitis - Reducing signs and symptoms in patients with active disease. 4. Crohn_s Disease - Reducing signs and symptoms and inducing and maintaining clinical remission in adult patients with moderately to severely active Crohn_s disease who have had an inadequate response to conventional therapy. Reducing signs and symptoms and inducing clinical remission in these patients if they have also lost response to or are intolerant to infliximab. 5. Plaque Psoriasis - The treatment of adult patients with moderate to severe chronic plaque psoriasis who are candidates for systemic therapy or phototherapy, and when other systemic therapies are medically less appropriate."
Adalimumab,331731-18-1,Adalimumab,DB00051,ankylosing spondylitis,doid:7147,original,"1. Rheumatoid Arthritis - Reducing signs and symptoms, inducing major clinical response, inhibiting the progression of structural damage, and improving physical function in adult patients with moderately to severely active disease. 2. Psoriatic Arthritis - Reducing signs and symptoms of active arthritis, inhibiting the progression of structural damage, and improving physical function. 3. Ankylosing Spondylitis - Reducing signs and symptoms in patients with active disease. 4. Crohn_s Disease - Reducing signs and symptoms and inducing and maintaining clinical remission in adult patients with moderately to severely active Crohn_s disease who have had an inadequate response to conventional therapy. Reducing signs and symptoms and inducing clinical remission in these patients if they have also lost response to or are intolerant to infliximab. 5. Plaque Psoriasis - The treatment of adult patients with moderate to severe chronic plaque psoriasis who are candidates for systemic therapy or phototherapy, and when other systemic therapies are medically less appropriate."
Adalimumab,331731-18-1,Adalimumab,DB00051,Crohn's disease,doid:8778,original,"1. Rheumatoid Arthritis - Reducing signs and symptoms, inducing major clinical response, inhibiting the progression of structural damage, and improving physical function in adult patients with moderately to severely active disease. 2. Psoriatic Arthritis - Reducing signs and symptoms of active arthritis, inhibiting the progression of structural damage, and improving physical function. 3. Ankylosing Spondylitis - Reducing signs and symptoms in patients with active disease. 4. Crohn_s Disease - Reducing signs and symptoms and inducing and maintaining clinical remission in adult patients with moderately to severely active Crohn_s disease who have had an inadequate response to conventional therapy. Reducing signs and symptoms and inducing clinical remission in these patients if they have also lost response to or are intolerant to infliximab. 5. Plaque Psoriasis - The treatment of adult patients with moderate to severe chronic plaque psoriasis who are candidates for systemic therapy or phototherapy, and when other systemic therapies are medically less appropriate."
Adalimumab,331731-18-1,Adalimumab,DB00051,psoriasis,doid:8893,original,"1. Rheumatoid Arthritis - Reducing signs and symptoms, inducing major clinical response, inhibiting the progression of structural damage, and improving physical function in adult patients with moderately to severely active disease. 2. Psoriatic Arthritis - Reducing signs and symptoms of active arthritis, inhibiting the progression of structural damage, and improving physical function. 3. Ankylosing Spondylitis - Reducing signs and symptoms in patients with active disease. 4. Crohn_s Disease - Reducing signs and symptoms and inducing and maintaining clinical remission in adult patients with moderately to severely active Crohn_s disease who have had an inadequate response to conventional therapy. Reducing signs and symptoms and inducing clinical remission in these patients if they have also lost response to or are intolerant to infliximab. 5. Plaque Psoriasis - The treatment of adult patients with moderate to severe chronic plaque psoriasis who are candidates for systemic therapy or phototherapy, and when other systemic therapies are medically less appropriate."
