disease_keggId	drug_keggId
ds:H00284	dr:D00423
ds:H00835	dr:D00535
ds:H01626	dr:D01551
ds:H01106	dr:D00160
ds:H01644	dr:D07486
ds:H01653	dr:D00252
ds:H01633	dr:D00378
ds:H01491	dr:D00981
ds:H00055	dr:D03455
ds:H01359	dr:D05411
ds:H01360	dr:D03693
ds:H01635	dr:D01862
ds:H00165	dr:D05177
ds:H01621	dr:D10135
ds:H01653	dr:D00710
ds:H01674	dr:D00448
ds:H00720	dr:D00545
ds:H01620	dr:D01754
ds:H00125	dr:D02784
ds:H01104	dr:D00804
ds:H01637	dr:D00565
ds:H00016	dr:D00275
ds:H01599	dr:D00326
ds:H01425	dr:D06565
ds:H01295	dr:D07986
ds:H01362	dr:D00592
ds:H00783	dr:D00252
ds:H01905	dr:D02724
ds:H00025	dr:D00275
ds:H01032	dr:D07130
ds:H01692	dr:D00753
ds:H01631	dr:D00272
ds:H00079	dr:D00983
ds:H01672	dr:D00448
ds:H01633	dr:D00313
ds:H00045	dr:D06067
ds:H01652	dr:D00351
ds:H00240	dr:D00386
ds:H01620	dr:D00036
ds:H01481	dr:D03021
ds:H00038	dr:D04603
ds:H00214	dr:D08815
ds:H01582	dr:D00050
ds:H00023	dr:D01459
ds:H01656	dr:D00233
ds:H01522	dr:D00355
ds:H01532	dr:D00120
ds:H01425	dr:D03228
ds:H01472	dr:D09785
ds:H01642	dr:D01602
ds:H01718	dr:D08779
ds:H00027	dr:D02368
ds:H01483	dr:D04666
ds:H00004	dr:D01441
ds:H00080	dr:D00346
ds:H00342	dr:D00144
ds:H00295	dr:D04516
ds:H01625	dr:D01896
ds:H01347	dr:D02982
ds:H01639	dr:D00964
ds:H01892	dr:D07760
ds:H01895	dr:D03721
ds:H01612	dr:D00109
ds:H01630	dr:D02110
ds:H01357	dr:D08660
ds:H01635	dr:D05255
ds:H01252	dr:D07985
ds:H00153	dr:D01966
ds:H01642	dr:D03232
ds:H01360	dr:D00689
ds:H00206	dr:D02934
ds:H01227	dr:D08083
ds:H00027	dr:D06409
ds:H01563	dr:D00412
ds:H01563	dr:D10600
ds:H00745	dr:D02147
ds:H00366	dr:D08777
ds:H01622	dr:D09572
ds:H01895	dr:D02574
ds:H00126	dr:D02810
ds:H01602	dr:D00455
ds:H01103	dr:D05868
ds:H01646	dr:D10133
ds:H01594	dr:D00994
ds:H01429	dr:D00448
ds:H01696	dr:D03305
ds:H01602	dr:D03336
ds:H00042	dr:D06067
ds:H00624	dr:D02690
ds:H01700	dr:D02691
ds:H01823	dr:D00710
ds:H01490	dr:D02802
ds:H01640	dr:D00989
ds:H01466	dr:D04358
ds:H00125	dr:D00252
ds:H00228	dr:D03670
ds:H00054	dr:D03455
ds:H01685	dr:D00472
ds:H00049	dr:D01459
ds:H01669	dr:D01983
ds:H01621	dr:D02721
ds:H01620	dr:D01748
ds:H00081	dr:D00636
ds:H01583	dr:D00036
ds:H00363	dr:D00350
ds:H01700	dr:D04454
ds:H01516	dr:D02596
ds:H01657	dr:D00287
ds:H00630	dr:D00473
ds:H01632	dr:D00630
ds:H01598	dr:D00986
ds:H00244	dr:D00628
ds:H00413	dr:D02747
ds:H00079	dr:D00472
ds:H01662	dr:D02260
ds:H01557	dr:D00275
ds:H00018	dr:D01211
ds:H01658	dr:D00287
ds:H01470	dr:D00083
ds:H01804	dr:D00512
ds:H01183	dr:D08580
ds:H00015	dr:D00275
ds:H00016	dr:D03455
ds:H00111	dr:D00285
ds:H01652	dr:D03488
ds:H01601	dr:D00287
ds:H01532	dr:D01206
ds:H01827	dr:D00280
ds:H00079	dr:D01929
ds:H01483	dr:D08559
ds:H01588	dr:D00676
ds:H01729	dr:D00483
ds:H00340	dr:D02142
ds:H00624	dr:D00211
ds:H01062	dr:D00203
ds:H01563	dr:D00895
ds:H01617	dr:D07364
ds:H00098	dr:D00350
ds:H01657	dr:D00407
ds:H00282	dr:D02934
ds:H01635	dr:D00892
ds:H01714	dr:D10744
ds:H01431	dr:D00410
ds:H01633	dr:D08074
ds:H01559	dr:D00275
ds:H01528	dr:DG00852
ds:H01664	dr:D00821
ds:H01653	dr:D01520
ds:H01360	dr:D00246
ds:H00005	dr:D00266
ds:H01490	dr:D04554
ds:H00020	dr:D01211
ds:H00031	dr:D01363
ds:H00368	dr:D04301
ds:H00821	dr:D01162
ds:H01636	dr:D02716
ds:H01589	dr:D02176
ds:H01657	dr:D00184
ds:H00542	dr:D01213
ds:H01633	dr:D00523
ds:H00176	dr:D05868
ds:H01739	dr:D04429
ds:H00030	dr:D01363
ds:H01680	dr:D01766
ds:H01508	dr:D00275
ds:H01729	dr:D00235
ds:H01602	dr:D00440
ds:H01600	dr:D07460
ds:H01333	dr:D02331
ds:H01714	dr:D08837
ds:H00051	dr:D00343
ds:H00079	dr:D02212
ds:H00408	dr:D00085
ds:H00036	dr:D00275
ds:H01637	dr:D01291
ds:H00125	dr:D03228
ds:H01718	dr:D00109
ds:H00017	dr:D00275
ds:H00626	dr:D00287
ds:H01664	dr:D00825
ds:H01354	dr:D00018
ds:H00626	dr:D00941
ds:H01620	dr:D01291
ds:H01694	dr:D06458
ds:H00021	dr:D03218
ds:H01658	dr:D01327
ds:H00612	dr:D01964
ds:H01649	dr:D00793
ds:H01333	dr:D00743
ds:H00047	dr:D01211
ds:H00437	dr:D00939
ds:H01658	dr:D00142
ds:H01091	dr:D00368
ds:H01813	dr:D00399
ds:H01490	dr:D04318
ds:H00100	dr:D03245
ds:H01862	dr:D01662
ds:H01317	dr:D01527
ds:H01563	dr:D10571
ds:H00243	dr:D00184
ds:H01563	dr:D00427
ds:H00473	dr:D01065
ds:H01618	dr:D00987
ds:H01649	dr:D04965
ds:H01452	dr:D08785
ds:H01655	dr:D00473
ds:H00243	dr:D08333
ds:H00183	dr:D07523
ds:H00630	dr:D02597
ds:H00378	dr:D06504
ds:H00010	dr:D00754
ds:H01425	dr:D02810
ds:H01684	dr:D00734
ds:H01598	dr:D01619
ds:H01827	dr:D00539
ds:H01563	dr:D09958
ds:H00055	dr:D00275
ds:H00045	dr:D06068
ds:H01598	dr:D00165
ds:H01637	dr:D00334
ds:H00154	dr:D00565
ds:H01663	dr:D00142
ds:H00176	dr:D00359
ds:H01783	dr:D00801
ds:H01090	dr:D00368
ds:H01638	dr:D00332
ds:H00378	dr:D05686
ds:H01279	dr:D02176
ds:H00266	dr:D00241
ds:H01425	dr:D03207
ds:H00426	dr:D02810
ds:H01100	dr:D00372
ds:H00626	dr:D00184
ds:H01316	dr:D00351
ds:H00027	dr:D01275
ds:H01371	dr:D00188
ds:H01612	dr:D03305
ds:H01875	dr:D08679
ds:H00020	dr:D01223
ds:H00052	dr:D00343
ds:H00229	dr:D00341
ds:H00374	dr:D04553
ds:H01644	dr:D01510
ds:H01157	dr:D02503
ds:H01563	dr:D01160
ds:H01002	dr:D03234
ds:H01663	dr:D02598
ds:H01645	dr:D03305
ds:H00550	dr:D00180
ds:H00612	dr:D00356
ds:H00053	dr:D01459
ds:H01667	dr:D02168
ds:H00015	dr:D01363
ds:H01480	dr:D05962
ds:H00014	dr:D07472
ds:H01601	dr:D09587
ds:H01668	dr:D02168
ds:H01466	dr:D00246
ds:H01602	dr:D00673
ds:H01459	dr:D02716
ds:H01293	dr:D03215
ds:H00006	dr:D01370
ds:H01646	dr:D00825
ds:H01062	dr:D02598
ds:H01563	dr:D00899
ds:H01357	dr:D01387
ds:H01213	dr:D00163
ds:H00007	dr:D07671
ds:H01633	dr:D00513
ds:H01589	dr:D02030
ds:H00003	dr:D00266
ds:H01599	dr:D07448
ds:H01495	dr:D00347
ds:H00282	dr:D09315
ds:H01227	dr:D04358
ds:H01107	dr:D00436
ds:H01152	dr:D02486
ds:H00057	dr:D04641
ds:H00288	dr:D00742
ds:H00401	dr:D02737
ds:H00626	dr:D00472
ds:H01626	dr:D01882
ds:H01592	dr:D06407
ds:H01655	dr:D02994
ds:H01333	dr:D02176
ds:H00394	dr:D04866
ds:H01643	dr:D04799
ds:H01649	dr:D04034
ds:H01555	dr:D00275
ds:H01617	dr:D00471
ds:H00366	dr:D00273
ds:H00630	dr:D00749
ds:H00340	dr:D00947
ds:H01431	dr:D00420
ds:H01654	dr:D00184
ds:H00626	dr:D02994
ds:H01729	dr:D01026
ds:H00111	dr:D00590
ds:H00243	dr:D00145
ds:H01347	dr:D01065
ds:H01633	dr:D00247
ds:H01809	dr:D00535
ds:H00148	dr:D10377
ds:H01600	dr:D05768
ds:H01511	dr:D01370
ds:H01551	dr:D05428
ds:H01657	dr:D00973
ds:H00038	dr:D00139
ds:H01585	dr:D03940
ds:H01656	dr:D01272
ds:H00021	dr:D06409
ds:H00241	dr:D01203
ds:H01600	dr:D03082
ds:H01697	dr:D04427
ds:H00429	dr:D02982
ds:H01753	dr:D00322
ds:H00374	dr:D00745
ds:H01688	dr:D00287
ds:H01649	dr:D00503
ds:H01648	dr:D01272
ds:H00938	dr:D01136
ds:H01077	dr:D06485
ds:H01590	dr:D00341
ds:H01659	dr:D00097
ds:H01618	dr:D05394
ds:H00045	dr:D05932
ds:H01698	dr:D02596
ds:H00081	dr:D02910
ds:H01611	dr:D05113
ds:H00413	dr:D10093
ds:H01635	dr:D02258
ds:H00743	dr:D00340
ds:H01555	dr:D01363
ds:H01601	dr:D03899
ds:H01692	dr:D02714
ds:H01633	dr:D01115
ds:H01062	dr:D00350
ds:H01804	dr:D00238
ds:H01892	dr:D09587
ds:H01593	dr:D08468
ds:H00026	dr:D00275
ds:H01682	dr:D01213
ds:H01646	dr:D02260
ds:H01903	dr:D01913
ds:H00200	dr:D07561
ds:H01598	dr:D00978
ds:H01372	dr:D00188
ds:H00256	dr:D00088
ds:H01680	dr:D01670
ds:H01423	dr:D08884
ds:H01182	dr:D00029
ds:H00021	dr:D06068
ds:H01714	dr:D00687
ds:H00057	dr:D00558
ds:H00473	dr:D02982
ds:H01905	dr:D03455
ds:H00084	dr:D05094
ds:H01809	dr:D00603
