disease_keggId	gene_keggId
ds:H00238	hsa:2187
ds:H01367	hsa:55687
ds:H01439	hsa:26608
ds:H01511	hsa:2205
ds:H00688	hsa:1453
ds:H01347	hsa:4564
ds:H00515	hsa:1836
ds:H00057	hsa:4929
ds:H00237	hsa:90121
ds:H00577	hsa:546
ds:H00036	hsa:59
ds:H01618	hsa:83550
ds:H00473	hsa:4720
ds:H01621	hsa:3777
ds:H01591	hsa:3815
ds:H01347	hsa:4567
ds:H00238	hsa:2176
ds:H01210	hsa:149461
ds:H00085	hsa:84230
ds:H00259	hsa:3291
ds:H00473	hsa:6389
ds:H01363	hsa:4508
ds:H01514	hsa:2903
ds:H00937	hsa:84634
ds:H01600	hsa:8867
ds:H00051	hsa:79058
ds:H00787	hsa:60506
ds:H00104	hsa:3075
ds:H00894	hsa:8573
ds:H00577	hsa:50814
ds:H00032	hsa:5468
ds:H01217	hsa:9180
ds:H01209	hsa:5631
ds:H00014	hsa:1029
ds:H01805	hsa:6499
ds:H01726	hsa:8526
ds:H00819	hsa:6785
ds:H00770	hsa:1145
ds:H00469	hsa:4358
ds:H00612	hsa:134430
ds:H00999	hsa:51004
ds:H01883	hsa:8815
ds:H00068	hsa:4535
ds:H00058	hsa:400916
ds:H00894	hsa:2316
ds:H00174	hsa:55788
ds:H00845	hsa:2934
ds:H01601	hsa:3662
ds:H00792	hsa:22930
ds:H00363	hsa:23765
ds:H01667	hsa:5015
ds:H00119	hsa:22796
ds:H00149	hsa:5538
ds:H00042	hsa:5728
ds:H00720	hsa:3762
ds:H01800	hsa:22827
ds:H00770	hsa:1134
ds:H01820	hsa:5573
ds:H00536	hsa:4854
ds:H00769	hsa:10243
ds:H00205	hsa:5194
ds:H00904	hsa:8425
ds:H00102	hsa:717
ds:H00656	hsa:4625
ds:H00017	hsa:4843
ds:H00058	hsa:283
ds:H01006	hsa:710
ds:H01354	hsa:6834
ds:H00009	hsa:3939
ds:H00015	hsa:3479
ds:H00023	hsa:3945
ds:H00573	hsa:6299
ds:H01903	hsa:79581
ds:H01593	hsa:7471
ds:H00093	hsa:84876
ds:H00223	hsa:5627
ds:H00556	hsa:9723
ds:H00509	hsa:9820
ds:H01202	hsa:5309
ds:H00055	hsa:898
ds:H01554	hsa:2064
ds:H00168	hsa:283652
ds:H01103	hsa:5265
ds:H00118	hsa:91869
ds:H01599	hsa:81608
ds:H01667	hsa:8312
ds:H00246	hsa:846
ds:H00031	hsa:4582
ds:H00058	hsa:54822
ds:H01565	hsa:10560
ds:H00564	hsa:115948
ds:H00527	hsa:375298
ds:H01305	hsa:8604
ds:H01358	hsa:256076
ds:H00403	hsa:2074
ds:H00916	hsa:627
ds:H00251	hsa:2299
ds:H00247	hsa:1027
ds:H00069	hsa:2992
ds:H00251	hsa:5172
ds:H00485	hsa:1855
ds:H00669	hsa:3728
ds:H00533	hsa:2658
ds:H00221	hsa:90411
ds:H00590	hsa:1291
ds:H00144	hsa:57192
ds:H00103	hsa:730
ds:H00606	hsa:1759
ds:H00069	hsa:2632
ds:H00527	hsa:768206
ds:H01027	hsa:9573
ds:H00775	hsa:477
ds:H00594	hsa:4703
ds:H00042	hsa:5159
ds:H01891	hsa:55280
ds:H00656	hsa:2273
ds:H00058	hsa:25978
ds:H00065	hsa:2670
ds:H00080	hsa:959
ds:H01572	hsa:9871
ds:H00091	hsa:3561
ds:H00455	hsa:1778
ds:H01001	hsa:57545
ds:H00092	hsa:5897
ds:H00002	hsa:4609
ds:H00507	hsa:1736
ds:H00098	hsa:4688
ds:H01034	hsa:3897
ds:H01029	hsa:11081
ds:H00808	hsa:2554
ds:H00674	hsa:51251
ds:H01778	hsa:1293
ds:H01864	hsa:9049
ds:H00423	hsa:410
ds:H01358	hsa:3656
ds:H00199	hsa:1807
ds:H00897	hsa:55275
ds:H00410	hsa:1056
ds:H01263	hsa:6331
ds:H00607	hsa:50846
ds:H00487	hsa:1747
ds:H01369	hsa:4508
ds:H00419	hsa:284119
ds:H00480	hsa:2664
ds:H00604	hsa:2707
ds:H01667	hsa:4771
ds:H00473	hsa:4539
ds:H01852	hsa:2737
ds:H01243	hsa:57338
ds:H01391	hsa:8989
ds:H00067	hsa:2395
ds:H01489	hsa:23556
ds:H00164	hsa:1373
ds:H00038	hsa:1019
ds:H00932	hsa:11330
ds:H01852	hsa:7700
ds:H00469	hsa:5428
ds:H01723	hsa:462
ds:H00606	hsa:3704
ds:H00960	hsa:83959
ds:H00608	hsa:6770
ds:H00779	hsa:79955
ds:H00081	hsa:7252
ds:H00264	hsa:59345
ds:H00673	hsa:170691
ds:H01109	hsa:64170
ds:H00810	hsa:2055
ds:H00593	hsa:79147
ds:H00593	hsa:11149
ds:H01673	hsa:3857
ds:H00036	hsa:7430
ds:H00069	hsa:2997
ds:H01247	hsa:501
ds:H00564	hsa:51314
ds:H00014	hsa:29126
ds:H00725	hsa:3784
ds:H01657	hsa:5800
ds:H00436	hsa:10312
ds:H00188	hsa:10157
ds:H00137	hsa:6609
ds:H01692	hsa:7249
ds:H00684	hsa:3868
ds:H01233	hsa:131669
ds:H00139	hsa:4125
ds:H00034	hsa:4221
ds:H00552	hsa:1756
ds:H00983	hsa:5345
ds:H00604	hsa:9132
ds:H01111	hsa:3290
ds:H01892	hsa:10360
ds:H01673	hsa:362
ds:H01400	hsa:1376
ds:H00002	hsa:4851
ds:H00255	hsa:26012
ds:H00631	hsa:5885
ds:H00708	hsa:3861
ds:H00080	hsa:3560
ds:H00768	hsa:56776
ds:H01743	hsa:5336
ds:H01755	hsa:2263
ds:H00725	hsa:3759
ds:H01389	hsa:5428
ds:H00679	hsa:9533
ds:H01601	hsa:56940
ds:H01489	hsa:93183
ds:H00594	hsa:7273
ds:H01667	hsa:324
ds:H01464	hsa:7157
ds:H00177	hsa:5194
ds:H01552	hsa:4552
ds:H00772	hsa:6335
ds:H00577	hsa:170302
ds:H00698	hsa:7138
ds:H00901	hsa:11136
ds:H01738	hsa:673
ds:H01740	hsa:8328
ds:H00079	hsa:3119
ds:H00080	hsa:718
ds:H00424	hsa:427
ds:H01276	hsa:2316
ds:H00246	hsa:79577
ds:H00083	hsa:7043
ds:H00093	hsa:4261
ds:H00668	hsa:2937
ds:H00831	hsa:478
ds:H00103	hsa:729
ds:H01862	hsa:5741
ds:H00849	hsa:2628
ds:H01359	hsa:3815
ds:H00167	hsa:2643
ds:H00773	hsa:2782
ds:H00038	hsa:3939
ds:H01839	hsa:10907
ds:H00264	hsa:3735
ds:H01593	hsa:799
ds:H00632	hsa:4838
ds:H01795	hsa:9968
ds:H01558	hsa:7345
ds:H00577	hsa:6855
ds:H00770	hsa:5913
ds:H01216	hsa:70
ds:H00445	hsa:1280
ds:H01368	hsa:1352
ds:H01869	hsa:72
ds:H00897	hsa:10978
ds:H00773	hsa:10664
ds:H00216	hsa:5447
ds:H00069	hsa:226
ds:H00027	hsa:10406
ds:H00541	hsa:6928
ds:H01911	hsa:6873
ds:H00265	hsa:667
ds:H00064	hsa:4361
ds:H00166	hsa:11234
ds:H00403	hsa:1161
ds:H00810	hsa:7957
ds:H00523	hsa:6654
ds:H00480	hsa:57502
ds:H01281	hsa:6309
ds:H01507	hsa:3106
ds:H00750	hsa:6303
ds:H01611	hsa:1813
ds:H00230	hsa:6708
ds:H00057	hsa:120892
ds:H00247	hsa:4221
ds:H01817	hsa:55325
ds:H01358	hsa:3596
ds:H00063	hsa:8913
ds:H01508	hsa:3815
ds:H01677	hsa:3897
ds:H00857	hsa:8313
ds:H00455	hsa:9217
ds:H00585	hsa:5339
ds:H00294	hsa:6389
ds:H00724	hsa:3860
ds:H00093	hsa:7535
ds:H00176	hsa:215
ds:H01205	hsa:1548
ds:H00688	hsa:8864
ds:H00265	hsa:22948
ds:H00292	hsa:7134
ds:H00481	hsa:157657
ds:H01342	hsa:9409
ds:H01498	hsa:26229
ds:H00480	hsa:347344
ds:H01509	hsa:4609
ds:H00717	hsa:3848
ds:H00970	hsa:57679
ds:H01502	hsa:3123
ds:H00043	hsa:4916
ds:H00014	hsa:634
ds:H01510	hsa:1909
ds:H01412	hsa:129563
ds:H00498	hsa:203859
ds:H00605	hsa:65217
ds:H01740	hsa:2812
ds:H01555	hsa:2026
ds:H00063	hsa:5173
ds:H00012	hsa:3717
ds:H01369	hsa:54968
ds:H00230	hsa:6710
ds:H01202	hsa:79443
ds:H01028	hsa:435
ds:H00589	hsa:8322
ds:H00786	hsa:1041
ds:H00174	hsa:5826
ds:H00891	hsa:498
ds:H01691	hsa:7248
ds:H00005	hsa:355
ds:H00021	hsa:7431
ds:H00032	hsa:7038
ds:H00513	hsa:3767
ds:H00918	hsa:55997
ds:H01574	hsa:9213
ds:H00473	hsa:7385
ds:H01346	hsa:641
ds:H00058	hsa:1639
ds:H00891	hsa:54931
ds:H01354	hsa:617
ds:H00604	hsa:1302
ds:H01227	hsa:64127
ds:H01510	hsa:3320
ds:H00759	hsa:6663
ds:H01359	hsa:3586
ds:H01160	hsa:6496
ds:H01398	hsa:383
ds:H00044	hsa:3880
ds:H01210	hsa:140803
ds:H00069	hsa:51422
ds:H01740	hsa:7450
ds:H00118	hsa:8813
ds:H00293	hsa:1832
ds:H01340	hsa:1303
ds:H00856	hsa:3508
ds:H01891	hsa:57231
ds:H01723	hsa:5627
ds:H00441	hsa:2778
ds:H00602	hsa:1585
ds:H01742	hsa:4205
ds:H00003	hsa:862
ds:H01358	hsa:6352
ds:H00014	hsa:27436
ds:H00033	hsa:4288
ds:H01601	hsa:10361
ds:H00880	hsa:103
ds:H00784	hsa:7421
ds:H00604	hsa:79977
ds:H00801	hsa:5592
ds:H00527	hsa:3420
ds:H01592	hsa:3265
ds:H00028	hsa:4193
ds:H00015	hsa:5155
ds:H00527	hsa:7439
ds:H00523	hsa:867
ds:H00920	hsa:84701
ds:H00572	hsa:157570
ds:H00266	hsa:9897
ds:H01347	hsa:4540
ds:H01672	hsa:4282
ds:H00147	hsa:10020
ds:H00734	hsa:7051
ds:H01271	hsa:2625
ds:H01667	hsa:7403
ds:H01694	hsa:3106
ds:H01219	hsa:7139
ds:H00292	hsa:7168
ds:H00282	hsa:91662
ds:H01288	hsa:9702
ds:H01738	hsa:867
ds:H01568	hsa:28952
ds:H00802	hsa:9509
ds:H00254	hsa:6658
ds:H00787	hsa:9187
ds:H00615	hsa:152816
ds:H00458	hsa:5447
ds:H00642	hsa:2263
ds:H00266	hsa:9907
ds:H00681	hsa:55851
ds:H00821	hsa:7099
ds:H01434	hsa:3426
ds:H01207	hsa:158326
ds:H00216	hsa:6770
ds:H00787	hsa:2779
ds:H01734	hsa:9401
ds:H01212	hsa:5274
ds:H01027	hsa:30062
ds:H01159	hsa:5080
ds:H00296	hsa:641
ds:H00100	hsa:2672
ds:H00172	hsa:1629
ds:H01342	hsa:55670
ds:H00021	hsa:2934
ds:H01299	hsa:729238
ds:H01159	hsa:5308
ds:H01762	hsa:226
ds:H01740	hsa:2811
ds:H00255	hsa:1848
ds:H00598	hsa:6736
ds:H00833	hsa:11152
ds:H00731	hsa:6324
ds:H00608	hsa:1717
ds:H00971	hsa:1261
ds:H00507	hsa:65057
ds:H00264	hsa:5376
ds:H01277	hsa:2694
ds:H00408	hsa:60468
ds:H00046	hsa:1029
ds:H00507	hsa:55505
ds:H00605	hsa:2706
ds:H00079	hsa:929
ds:H01868	hsa:8642
ds:H00068	hsa:4512
ds:H01202	hsa:7466
ds:H01700	hsa:9095
ds:H01601	hsa:10360
ds:H00891	hsa:91574
ds:H01360	hsa:929
ds:H01657	hsa:2013
ds:H01333	hsa:80339
ds:H01861	hsa:25942
ds:H00252	hsa:554
ds:H00527	hsa:10461
ds:H00408	hsa:1594
ds:H01760	hsa:5261
ds:H00089	hsa:3593
ds:H00858	hsa:55806
ds:H00118	hsa:5373
ds:H01203	hsa:4053
ds:H00208	hsa:1244
ds:H00002	hsa:613
ds:H01740	hsa:2815
ds:H01272	hsa:1482
ds:H01700	hsa:5308
ds:H00015	hsa:3854
ds:H00043	hsa:3948
ds:H01511	hsa:23430
ds:H00031	hsa:5728
ds:H00118	hsa:79644
ds:H00085	hsa:56262
ds:H01784	hsa:64788
ds:H00265	hsa:10558
ds:H00549	hsa:182
ds:H01593	hsa:5358
ds:H00058	hsa:29978
ds:H00015	hsa:7157
ds:H01666	hsa:4893
ds:H00107	hsa:331
ds:H00457	hsa:6578
ds:H00005	hsa:3945
ds:H00593	hsa:8557
ds:H00773	hsa:1917
ds:H00264	hsa:26353
ds:H00523	hsa:8036
ds:H00698	hsa:10324
ds:H01413	hsa:285203
ds:H00198	hsa:7372
ds:H00516	hsa:7341
ds:H01812	hsa:5133
ds:H00593	hsa:22954
ds:H00605	hsa:125336
ds:H01185	hsa:1471
ds:H00015	hsa:3852
ds:H00409	hsa:5167
ds:H00182	hsa:1491
ds:H00814	hsa:7439
ds:H00238	hsa:55120
ds:H00591	hsa:23347
ds:H00181	hsa:56922
ds:H00563	hsa:23224
ds:H00821	hsa:629
ds:H00759	hsa:1908
ds:H01799	hsa:30817
ds:H00266	hsa:23111
ds:H00813	hsa:3909
ds:H00003	hsa:3845
ds:H00107	hsa:6899
ds:H01573	hsa:3756
ds:H00254	hsa:5449
ds:H00036	hsa:1030
ds:H01351	hsa:10939
ds:H01428	hsa:5429
ds:H01632	hsa:1152
ds:H00083	hsa:3458
ds:H01633	hsa:3291
ds:H00528	hsa:257
ds:H00266	hsa:80208
ds:H00810	hsa:4558
ds:H00235	hsa:1727
ds:H00593	hsa:55624
ds:H00002	hsa:4066
ds:H00464	hsa:4010
ds:H01358	hsa:64127
ds:H01489	hsa:93210
ds:H00737	hsa:1041
ds:H00728	hsa:6331
ds:H00016	hsa:6774
ds:H00569	hsa:2245
ds:H00410	hsa:2645
ds:H00856	hsa:26353
ds:H00084	hsa:7133
ds:H01867	hsa:9096
ds:H01488	hsa:84992
ds:H00011	hsa:5079
ds:H00547	hsa:78987
ds:H00057	hsa:65018
ds:H00261	hsa:79867
ds:H00905	hsa:340024
ds:H00344	hsa:3107
ds:H00615	hsa:286077
