drug_keggId	gene_keggId
dr:D03781	hsa:1588
dr:D00720	hsa:1131
dr:D05008	hsa:3360
dr:D00557	hsa:2568
dr:D00615	hsa:775
dr:D08221	hsa:8399
dr:D00713	hsa:55879
dr:D00370	hsa:55879
dr:D02993	hsa:2100
dr:D02910	hsa:6336
dr:D00996	hsa:148
dr:D00697	hsa:2556
dr:D03274	hsa:3358
dr:D01268	hsa:2559
dr:D02848	hsa:10800
dr:D01477	hsa:3358
dr:D10452	hsa:347688
dr:D10396	hsa:5159
dr:D01310	hsa:2562
dr:D00425	hsa:5743
dr:D00680	hsa:3351
dr:D00095	hsa:155
dr:D01926	hsa:1132
dr:D01697	hsa:114
dr:D05028	hsa:2556
dr:D05628	hsa:1132
dr:D07823	hsa:1131
dr:D05784	hsa:5289
dr:D07403	hsa:3269
dr:D00990	hsa:2798
dr:D09589	hsa:2260
dr:D01104	hsa:779
dr:D07961	hsa:5140
dr:D03798	hsa:79001
dr:D09400	hsa:2798
dr:D07409	hsa:55879
dr:D02085	hsa:5140
dr:D08982	hsa:152
dr:D07409	hsa:2565
dr:D04066	hsa:10382
dr:D00473	hsa:2908
dr:D09960	hsa:3716
dr:D02910	hsa:6329
dr:D09665	hsa:6714
dr:D00564	hsa:79001
dr:D00255	hsa:147
dr:D01372	hsa:2554
dr:D02910	hsa:6323
dr:D01268	hsa:2558
dr:D10627	hsa:2904
dr:D04820	hsa:3356
dr:D01441	hsa:5156
dr:D00836	hsa:4988
dr:D03665	hsa:29947
dr:D02623	hsa:1813
dr:D07943	hsa:779
dr:D00640	hsa:6336
dr:D00691	hsa:5151
dr:D07147	hsa:481
dr:D07334	hsa:6532
dr:D10004	hsa:834
dr:D03505	hsa:846
dr:D04116	hsa:1132
dr:D00232	hsa:1133
dr:D01887	hsa:148
dr:D06308	hsa:10383
dr:D02235	hsa:553
dr:D00796	hsa:1813
dr:D05393	hsa:7124
dr:D00316	hsa:5914
dr:D08485	hsa:3352
dr:D08309	hsa:148
dr:D00365	hsa:2563
dr:D10514	hsa:2066
dr:D10432	hsa:4860
dr:D10399	hsa:25
dr:D09749	hsa:285242
dr:D01145	hsa:776
dr:D00636	hsa:3784
dr:D04370	hsa:170572
dr:D08892	hsa:778
dr:D10185	hsa:9177
dr:D09980	hsa:10381
dr:D00642	hsa:6329
dr:D01180	hsa:3283
dr:D02182	hsa:6331
dr:D06495	hsa:6752
dr:D06640	hsa:3783
dr:D06175	hsa:1133
dr:D01602	hsa:2099
dr:D06503	hsa:200895
dr:D08167	hsa:5241
dr:D08238	hsa:5144
dr:D05703	hsa:1145
dr:D07117	hsa:6833
dr:D02283	hsa:2561
dr:D01165	hsa:1132
dr:D01293	hsa:2559
dr:D07916	hsa:153
dr:D02622	hsa:1813
dr:D00719	hsa:1128
dr:D07417	hsa:4161
dr:D09708	hsa:1071
dr:D08507	hsa:2555
dr:D07961	hsa:5151
dr:D00720	hsa:1132
dr:D10013	hsa:10382
dr:D02102	hsa:2903
dr:D01520	hsa:3357
dr:D00978	hsa:2908
dr:D08670	hsa:6530
dr:D01115	hsa:4306
dr:D02109	hsa:155
dr:D08246	hsa:4988
dr:D08458	hsa:6323
dr:D00763	hsa:1134
dr:D09847	hsa:481
dr:D00538	hsa:6336
dr:D04050	hsa:5770
dr:D10325	hsa:6608
dr:D05649	hsa:151
dr:D00723	hsa:1132
dr:D05147	hsa:4881
dr:D00743	hsa:148
dr:D00349	hsa:776
dr:D10634	hsa:2908
dr:D01838	hsa:9177
dr:D08368	hsa:155
dr:D08489	hsa:1813
dr:D00403	hsa:3356
dr:D00528	hsa:5138
dr:D08986	hsa:5021
dr:D00694	hsa:2560
dr:D04121	hsa:2740
dr:D01674	hsa:147
dr:D00996	hsa:150
dr:D09784	hsa:148
dr:D00695	hsa:2557
dr:D00370	hsa:2568
dr:D05719	hsa:2908
dr:D09847	hsa:476
dr:D01485	hsa:1813
dr:D09339	hsa:496
dr:D03802	hsa:4314
dr:D02229	hsa:8654
dr:D07156	hsa:154
dr:D00532	hsa:2558
dr:D07494	hsa:775
dr:D01573	hsa:152
dr:D09032	hsa:10381
dr:D09950	hsa:25
dr:D09980	hsa:10383
dr:D00999	hsa:1144
dr:D01769	hsa:10382
dr:D08279	hsa:2322
dr:D05292	hsa:1374
dr:D03165	hsa:1813
dr:D01025	hsa:148
dr:D08618	hsa:7150
dr:D05333	hsa:81027
dr:D04087	hsa:1132
dr:D00787	hsa:1129
dr:D01018	hsa:153
dr:D02826	hsa:3352
dr:D09887	hsa:1814
dr:D00701	hsa:2562
dr:D10545	hsa:1132
dr:D08145	hsa:2559
dr:D01245	hsa:2556
dr:D04552	hsa:3455
dr:D01385	hsa:10800
dr:D08950	hsa:2064
dr:D10141	hsa:3716
dr:D05775	hsa:11280
dr:D06103	hsa:134
dr:D03746	hsa:2904
dr:D05479	hsa:26
dr:D01278	hsa:2568
dr:D00225	hsa:2560
dr:D02617	hsa:2555
dr:D02676	hsa:1814
dr:D00706	hsa:2557
dr:D02086	hsa:6329
dr:D08106	hsa:153
dr:D02236	hsa:1813
dr:D03802	hsa:4313
dr:D03059	hsa:84617
dr:D02218	hsa:5153
dr:D06517	hsa:6335
dr:D10013	hsa:81027
dr:D01504	hsa:155
dr:D03012	hsa:6646
dr:D00696	hsa:2557
dr:D05480	hsa:63928
dr:D08322	hsa:148
dr:D05775	hsa:6334
dr:D08509	hsa:2692
dr:D05002	hsa:2908
dr:D02780	hsa:2905
dr:D07874	hsa:147
dr:D01769	hsa:10381
dr:D03239	hsa:43
dr:D02290	hsa:5743
dr:D07961	hsa:5153
dr:D02558	hsa:43
dr:D01946	hsa:1128
dr:D10635	hsa:2475
dr:D07227	hsa:553
dr:D02197	hsa:7280
dr:D02599	hsa:1128
dr:D06140	hsa:1241
dr:D10898	hsa:2064
dr:D02910	hsa:5243
dr:D06234	hsa:147
dr:D04498	hsa:79644
dr:D09698	hsa:3350
dr:D10185	hsa:3359
dr:D01438	hsa:4543
dr:D01230	hsa:2559
dr:D08421	hsa:6336
dr:D03602	hsa:7153
dr:D00407	hsa:2908
dr:D00371	hsa:5141
dr:D00354	hsa:6326
dr:D07784	hsa:2565
dr:D10012	hsa:6616
dr:D00270	hsa:1133
dr:D00477	hsa:6336
dr:D00465	hsa:1131
dr:D06567	hsa:1813
dr:D00283	hsa:3359
dr:D05228	hsa:148
dr:D07221	hsa:2100
dr:D00491	hsa:10383
dr:D02364	hsa:1144
dr:D07550	hsa:148
dr:D00664	hsa:3269
dr:D01450	hsa:6335
dr:D09868	hsa:1022
dr:D04889	hsa:148
dr:D09936	hsa:4170
dr:D02165	hsa:10383
dr:D06398	hsa:462
dr:D02227	hsa:4986
dr:D09020	hsa:5141
dr:D02716	hsa:781
dr:D10322	hsa:10014
dr:D08195	hsa:2905
dr:D08344	hsa:3717
dr:D08344	hsa:25
dr:D00939	hsa:2224
dr:D08356	hsa:2563
dr:D07494	hsa:776
dr:D08552	hsa:3815
dr:D10354	hsa:3566
dr:D10194	hsa:2567
dr:D00557	hsa:2561
dr:D07701	hsa:3356
dr:D01278	hsa:2567
dr:D00518	hsa:761
dr:D08376	hsa:1133
dr:D01025	hsa:147
dr:D03107	hsa:6715
dr:D00371	hsa:5136
dr:D08595	hsa:1128
dr:D03795	hsa:4316
dr:D09403	hsa:1191
dr:D07089	hsa:5143
dr:D02048	hsa:5739
dr:D10321	hsa:51564
dr:D06404	hsa:2740
dr:D01519	hsa:6335
dr:D04018	hsa:150
dr:D00640	hsa:6329
dr:D08805	hsa:3459
dr:D04532	hsa:147
dr:D03218	hsa:3791
dr:D02073	hsa:5731
dr:D02047	hsa:4023
dr:D02070	hsa:1132
dr:D10304	hsa:6261
dr:D01293	hsa:2557
dr:D07457	hsa:79001
dr:D10584	hsa:5289
dr:D07589	hsa:2906
dr:D08070	hsa:6532
dr:D09214	hsa:3593
dr:D10185	hsa:285242
dr:D01967	hsa:6335
dr:D07603	hsa:5142
dr:D01709	hsa:5742
dr:D08122	hsa:2903
dr:D06104	hsa:10846
dr:D08653	hsa:1129
dr:D01514	hsa:55879
dr:D09919	hsa:2324
dr:D05429	hsa:5144
dr:D08953	hsa:3815
dr:D02357	hsa:3351
dr:D09881	hsa:1576
dr:D08349	hsa:4128
dr:D01441	hsa:25
dr:D02398	hsa:10383
dr:D00313	hsa:6558
dr:D00723	hsa:1128
dr:D06283	hsa:84647
dr:D07439	hsa:5151
dr:D07081	hsa:1128
dr:D08408	hsa:10800
dr:D01955	hsa:1128
dr:D00480	hsa:3269
dr:D09794	hsa:151
dr:D05781	hsa:80834
dr:D07913	hsa:6532
dr:D09819	hsa:1129
dr:D01358	hsa:152
dr:D05028	hsa:2566
dr:D00537	hsa:778
dr:D07431	hsa:6754
dr:D10619	hsa:2185
dr:D07541	hsa:5742
dr:D02384	hsa:10800
dr:D06544	hsa:4158
dr:D00973	hsa:2908
dr:D10615	hsa:5605
dr:D02253	hsa:2566
dr:D00537	hsa:6329
dr:D09333	hsa:1803
dr:D01593	hsa:2558
dr:D07793	hsa:6532
dr:D08356	hsa:2561
dr:D01564	hsa:2554
dr:D00638	hsa:6323
dr:D07222	hsa:5241
dr:D06177	hsa:6833
dr:D01654	hsa:3269
dr:D05649	hsa:148
dr:D00713	hsa:2558
dr:D01562	hsa:779
dr:D08947	hsa:2324
dr:D10026	hsa:290
dr:D10019	hsa:9759
dr:D03737	hsa:2563
dr:D08297	hsa:10280
dr:D07845	hsa:775
dr:D02168	hsa:116447
dr:D09773	hsa:4129
dr:D08056	hsa:2224
dr:D06104	hsa:5136
dr:D00293	hsa:2554
dr:D05099	hsa:1268
dr:D05474	hsa:5141
dr:D04434	hsa:1129
dr:D03682	hsa:3561
dr:D08059	hsa:5742
dr:D08453	hsa:4128
dr:D04192	hsa:56479
dr:D08507	hsa:2557
dr:D08840	hsa:2560
dr:D00227	hsa:5151
dr:D02070	hsa:1131
dr:D09887	hsa:1816
dr:D08395	hsa:1128
dr:D02017	hsa:5139
dr:D07425	hsa:8622
dr:D09732	hsa:155
dr:D06575	hsa:5141
dr:D01462	hsa:1813
dr:D07727	hsa:6530
dr:D06881	hsa:478
dr:D06277	hsa:5243
dr:D08945	hsa:154
dr:D00107	hsa:63928
dr:D09869	hsa:55851
dr:D08121	hsa:2904
dr:D01316	hsa:2568
dr:D00557	hsa:2565
dr:D00789	hsa:1128
dr:D02165	hsa:203068
dr:D08836	hsa:80834
dr:D02166	hsa:7155
dr:D02616	hsa:2557
dr:D02770	hsa:2563
dr:D10819	hsa:5228
dr:D00150	hsa:186
dr:D07520	hsa:3762
dr:D07961	hsa:5144
dr:D00465	hsa:1128
dr:D00403	hsa:146
dr:D00746	hsa:3454
dr:D07451	hsa:154
dr:D00557	hsa:2562
dr:D03534	hsa:1812
dr:D00283	hsa:285242
dr:D08283	hsa:2557
dr:D00365	hsa:2556
dr:D04260	hsa:779
dr:D03773	hsa:1636
dr:D08145	hsa:2555
dr:D09198	hsa:2224
dr:D04320	hsa:3358
dr:D07546	hsa:5138
dr:D02616	hsa:2564
dr:D00059	hsa:1815
dr:D07100	hsa:7155
dr:D00999	hsa:1141
dr:D07784	hsa:2560
dr:D00732	hsa:6329
dr:D08215	hsa:6331
dr:D09033	hsa:5532
dr:D03878	hsa:2906
dr:D10483	hsa:3455
dr:D05447	hsa:2905
dr:D00711	hsa:2904
dr:D07465	hsa:155
dr:D08883	hsa:5159
dr:D01354	hsa:2562
dr:D03494	hsa:1812
dr:D00696	hsa:2560
dr:D08559	hsa:2099
dr:D08691	hsa:1813
dr:D00485	hsa:150
dr:D08155	hsa:778
dr:D00697	hsa:2557
dr:D01672	hsa:3817
dr:D01217	hsa:5241
dr:D02357	hsa:3352
dr:D02252	hsa:2558
dr:D08162	hsa:5742
dr:D01514	hsa:2560
dr:D01758	hsa:2559
dr:D09886	hsa:1812
dr:D00766	hsa:1145
dr:D05028	hsa:2559
dr:D04048	hsa:6326
dr:D00738	hsa:6334
dr:D00270	hsa:3358
dr:D02064	hsa:1129
dr:D01853	hsa:2100
dr:D04221	hsa:2908
dr:D04541	hsa:3643
dr:D08029	hsa:151
dr:D01408	hsa:2558
dr:D03562	hsa:2563
dr:D03769	hsa:1636
dr:D05028	hsa:2567
dr:D10383	hsa:7155
dr:D08066	hsa:5159
dr:D00426	hsa:3356
dr:D00185	hsa:2100
dr:D06103	hsa:5137
dr:D08511	hsa:151
dr:D07118	hsa:6833
dr:D02096	hsa:6329
dr:D00216	hsa:2595
dr:D06623	hsa:1813
dr:D02207	hsa:1146
dr:D01328	hsa:2556
dr:D08410	hsa:3156
dr:D01939	hsa:3356
dr:D05727	hsa:6915
dr:D01201	hsa:1132
dr:D08368	hsa:152
dr:D08890	hsa:5465
dr:D07866	hsa:7280
dr:D00311	hsa:2567
dr:D02579	hsa:4128
dr:D04264	hsa:3351
dr:D02076	hsa:151
dr:D08215	hsa:6328
dr:D06288	hsa:43
dr:D10030	hsa:7280
dr:D00618	hsa:776
dr:D04087	hsa:1129
dr:D00311	hsa:2559
dr:D06544	hsa:4160
dr:D08181	hsa:11280
