Source	Predicate	Target	Source_wd	Predicate_wd	Target_wd	Reference	Sentence	Source_type	Target_type	Source_name	Target_name	Prevalence	Curator_evidence	Curation_date	Curator	Reference_date
UniProt:Q96IV0	same_as	EC:3.5.1.52				https://www.ncbi.nlm.nih.gov/pubmed/24651605	The enzyme N-glycanase 1 (NGLY1), also known as peptide:N-glycanase (PNGase, EC 3.5.1.52), catalyzes protein deglycosilation by cleaving the beta-aspartyl glycosylamine bond of N-linked glycoproteins with the subsequent release of intact N-glycan species.	protein	enzyme	N-Glycanase 1	PNGase|peptide:N-glycanase			2017-03-22	Núria Queralt Rosinach	2014-03-20
UniProt:Q96IV0	participates	GO:0006517				https://www.ncbi.nlm.nih.gov/pubmed/24651605	The enzyme N-glycanase 1 (NGLY1), also known as peptide:N-glycanase (PNGase, EC 3.5.1.52), catalyzes protein deglycosilation by cleaving the beta-aspartyl glycosylamine bond of N-linked glycoproteins with the subsequent release of intact N-glycan species.	protein	biological process	N-Glycanase 1	protein deglycosilation		GOA (human)	2017-03-22	Núria Queralt Rosinach	2014-03-20
UniProt:Q96IV0	participates	GO:0006515				https://www.ncbi.nlm.nih.gov/pubmed/24651605	Misfolded glycoproteins are detected by ER luminal lectins and are then translocated to the cytosol via the ERAD machinery to be subsequently degraded by cytosolic enzymes including NGLY1.	protein	biological process	N-Glycanase 1	misfolded or incompletely synthesized protein catabolic process		GOA (human)	2017-03-22	Núria Queralt Rosinach	2014-03-20
UniProt:Q96IV0	participates	GO:0006516				https://www.ncbi.nlm.nih.gov/pubmed/24651605	Misfolded glycoproteins are detected by ER luminal lectins and are then translocated to the cytosol via the ERAD machinery to be subsequently degraded by cytosolic enzymes including NGLY1.	protein	biological process	N-Glycanase 1	glycoprotein catabolic process		GOA (human)	2017-03-22	Núria Queralt Rosinach	2014-03-20
UniProt:Q96IV0	participates	GO:0097466				https://www.ncbi.nlm.nih.gov/pubmed/24651605	Evidence suggests that NGLY1 participates as a key cytoplasmic component of the endoplasmic reticulum-associated degradation (ERAD) machinery along with the AAA ATPase complex p97. The ERAD pathway is a mechanism for identifying and degrading misfolded glycoproteins.	protein	biological process	N-Glycanase 1	ubiquitin-dependent glycoprotein ERAD pathway		Not in GOA, but evidence on Reactome (http://www.reactome.org/content/detail/R-HSA-8850594) [accessed at 2017-03-16]; PMID: 11562482	2017-03-22	Núria Queralt Rosinach	2014-03-20
UniProt:Q96IV0	participates	GO:0071712				https://www.ncbi.nlm.nih.gov/pubmed/24651605	Evidence suggests that NGLY1 participates as a key cytoplasmic component of the endoplasmic reticulum-associated degradation (ERAD) machinery along with the AAA ATPase complex p97. The ERAD pathway is a mechanism for identifying and degrading misfolded glycoproteins.	protein	biological process	N-Glycanase 1	ER-associated misfolded protein catabolic process		Not in GOA	2017-03-22	Núria Queralt Rosinach	2014-03-20
UniProt:Q96IV0	participates	Reactome:R-HSA-532668				https://www.ncbi.nlm.nih.gov/pubmed/24651605	Evidence suggests that NGLY1 participates as a key cytoplasmic component of the endoplasmic reticulum-associated degradation (ERAD) machinery along with the AAA ATPase complex p97. The ERAD pathway is a mechanism for identifying and degrading misfolded glycoproteins.	protein	pathway	N-Glycanase 1	ERAD pathway			2017-03-22	Núria Queralt Rosinach	2014-03-20
UniProt:Q96IV0	molecular_activity	GO:0000224				https://www.ncbi.nlm.nih.gov/pubmed/24651605	The enzyme N-glycanase 1 (NGLY1), also known as peptide:N-glycanase (PNGase, EC 3.5.1.52), catalyzes protein deglycosilation by cleaving the beta-aspartyl glycosylamine bond of N-linked glycoproteins with the subsequent release of intact N-glycan species.	protein	molecular function	N-Glycanase 1	cleavage of the B-aspartyl glycosylamine bond of N-linked glycoproteins, releasing intact N-glycans from proteins bound for degradation.		GOA (human)	2017-03-22	Núria Queralt Rosinach	2014-03-20
UniProt:Q96IV0	participates	Reactome:R-HSA-8850594				https://www.ncbi.nlm.nih.gov/pubmed/24651605	The enzyme N-glycanase 1 (NGLY1), also known as peptide:N-glycanase (PNGase, EC 3.5.1.52), catalyzes protein deglycosilation by cleaving the beta-aspartyl glycosylamine bond of N-linked glycoproteins with the subsequent release of intact N-glycan species.	protein	reaction	N-Glycanase 1	Deglycosylation complex hydrolyses N-glycans from unfolded glycoproteins			2017-03-22	Núria Queralt Rosinach	2014-03-20
UniProt:Q96IV0	in	GO:0005829				https://www.ncbi.nlm.nih.gov/pubmed/24651605	Misfolded glycoproteins are detected by ER luminal lectins and are then translocated to the cytosol via the ERAD machinery to be subsequently degraded by cytosolic enzymes including NGLY1.	protein	cell component	N-Glycanase 1	cytosol		GOA (human)	2017-03-22	Núria Queralt Rosinach	2014-03-20
UniProt:Q96IV0	in	GO:0005737				https://www.ncbi.nlm.nih.gov/pubmed/24651605	Evidence suggests that NGLY1 participates as a key cytoplasmic component of the endoplasmic reticulum-associated degradation (ERAD) machinery along with the AAA ATPase complex p97.	protein	cell component	N-Glycanase 1	cytoplasm		GOA (human)	2017-03-22	Núria Queralt Rosinach	2014-03-20
Reactome:R-HSA-8850594	participates	Reactome:R-HSA-532668				https://www.ncbi.nlm.nih.gov/pubmed/24651605	The enzyme N-glycanase 1 (NGLY1), also known as peptide:N-glycanase (PNGase, EC 3.5.1.52), catalyzes protein deglycosilation by cleaving the beta-aspartyl glycosylamine bond of N-linked glycoproteins with the subsequent release of intact N-glycan species.(...).Evidence suggests that NGLY1 participates as a key cytoplasmic component of the endoplasmic reticulum-associated degradation (ERAD) machinery along with the AAA ATPase complex p97. The ERAD pathway is a mechanism for identifying and degrading misfolded glycoproteins.	reaction 	pathway	Deglycosylation complex hydrolyses N-glycans from unfolded glycoproteins	ERAD pathway		http://www.reactome.org/content/detail/R-HSA-532668	2017-03-22	Núria Queralt Rosinach	2014-03-20
