orphanet_code	orphanet_term	hp_code	hp_term
Orphanet:79430	Hermansky-Pudlak syndrome	HP:0000083	Renal insufficiency
Orphanet:79430	Hermansky-Pudlak syndrome	HP:0000421	Epistaxis
Orphanet:79430	Hermansky-Pudlak syndrome	HP:0000483	Astigmatism
Orphanet:79430	Hermansky-Pudlak syndrome	HP:0000486	Strabismus
Orphanet:79430	Hermansky-Pudlak syndrome	HP:0000505	Visual impairment
Orphanet:79430	Hermansky-Pudlak syndrome	HP:0000518	Cataract
Orphanet:79430	Hermansky-Pudlak syndrome	HP:0000527	Long eyelashes
Orphanet:79430	Hermansky-Pudlak syndrome	HP:0000545	Myopia
Orphanet:79430	Hermansky-Pudlak syndrome	HP:0000587	Abnormality of the optic nerve
Orphanet:79430	Hermansky-Pudlak syndrome	HP:0000613	Photophobia
Orphanet:79430	Hermansky-Pudlak syndrome	HP:0000639	Nystagmus
Orphanet:79430	Hermansky-Pudlak syndrome	HP:0000649	Abnormality of vision evoked potentials
Orphanet:79430	Hermansky-Pudlak syndrome	HP:0000682	Abnormality of dental enamel
Orphanet:79430	Hermansky-Pudlak syndrome	HP:0000962	Hyperkeratosis
Orphanet:79430	Hermansky-Pudlak syndrome	HP:0000978	Bruising susceptibility
Orphanet:79430	Hermansky-Pudlak syndrome	HP:0000995	Melanocytic nevus
Orphanet:79430	Hermansky-Pudlak syndrome	HP:0001010	Hypopigmentation of the skin
Orphanet:79430	Hermansky-Pudlak syndrome	HP:0001072	Thickened skin
Orphanet:79430	Hermansky-Pudlak syndrome	HP:0001107	Ocular albinism
Orphanet:79430	Hermansky-Pudlak syndrome	HP:0001638	Cardiomyopathy
Orphanet:79430	Hermansky-Pudlak syndrome	HP:0001824	Weight loss
Orphanet:79430	Hermansky-Pudlak syndrome	HP:0001872	Abnormality of thrombocytes
Orphanet:79430	Hermansky-Pudlak syndrome	HP:0001875	Neutropenia
Orphanet:79430	Hermansky-Pudlak syndrome	HP:0001892	Abnormal bleeding
Orphanet:79430	Hermansky-Pudlak syndrome	HP:0002024	Malabsorption
Orphanet:79430	Hermansky-Pudlak syndrome	HP:0002027	Abdominal pain
Orphanet:79430	Hermansky-Pudlak syndrome	HP:0002039	Anorexia
Orphanet:79430	Hermansky-Pudlak syndrome	HP:0002094	Dyspnea
Orphanet:79430	Hermansky-Pudlak syndrome	HP:0002206	Pulmonary fibrosis
Orphanet:79430	Hermansky-Pudlak syndrome	HP:0002239	Gastrointestinal hemorrhage
Orphanet:79430	Hermansky-Pudlak syndrome	HP:0002671	Basal cell carcinoma
Orphanet:79430	Hermansky-Pudlak syndrome	HP:0002721	Immunodeficiency
Orphanet:79430	Hermansky-Pudlak syndrome	HP:0005599	Hypopigmentation of hair
Orphanet:79430	Hermansky-Pudlak syndrome	HP:0006739	Squamous cell carcinoma of the skin
Orphanet:79430	Hermansky-Pudlak syndrome	HP:0007443	Partial albinism
Orphanet:79430	Hermansky-Pudlak syndrome	HP:0007730	Iris hypopigmentation
Orphanet:79430	Hermansky-Pudlak syndrome	HP:0012378	Fatigue
