orphanumber	doid
Orphanet:205	DOID:3803
Orphanet:564	DOID:0050778
Orphanet:628	DOID:14687
Orphanet:36397	DOID:3928
Orphanet:85193	DOID:12559
Orphanet:703	DOID:8506
Orphanet:1425	DOID:0060462
Orphanet:2614	DOID:9467
Orphanet:912	DOID:905
Orphanet:380	DOID:14761
Orphanet:908	DOID:14261
Orphanet:1653	DOID:701
Orphanet:634	DOID:0050474
Orphanet:614	DOID:2106
Orphanet:107	DOID:14702
Orphanet:79358	DOID:3805
Orphanet:1786	DOID:0060384
Orphanet:664	DOID:9271
Orphanet:90291	DOID:418
Orphanet:166	DOID:10595
Orphanet:302	DOID:13777
Orphanet:66646	DOID:3663
Orphanet:1906	DOID:0060471
Orphanet:371	DOID:11721
Orphanet:765	DOID:3649
Orphanet:963	DOID:2449
Orphanet:99868	DOID:3284
Orphanet:63	DOID:10983
Orphanet:2116	DOID:1060
Orphanet:108	DOID:9643
Orphanet:75234	DOID:14502
Orphanet:306	DOID:0060169
Orphanet:1555	DOID:0050660
Orphanet:1606	DOID:0060410
Orphanet:976	DOID:0060350
Orphanet:251937	DOID:2426
Orphanet:3378	DOID:11665
Orphanet:777	DOID:0050776
Orphanet:817	DOID:0060283
Orphanet:99829	DOID:9682
Orphanet:324	DOID:14499
Orphanet:584	DOID:12803
Orphanet:207	DOID:2339
Orphanet:14	DOID:1386
Orphanet:44890	DOID:9253
Orphanet:352	DOID:9870
Orphanet:2930	DOID:6225
Orphanet:69077	DOID:3672
Orphanet:635	DOID:769
Orphanet:300385	DOID:4916
Orphanet:75374	DOID:0050335
Orphanet:217377	DOID:0060461
Orphanet:93356	DOID:0080030
Orphanet:79456	DOID:3665
Orphanet:47612	DOID:11042
Orphanet:2368	DOID:11044
Orphanet:666	DOID:12347
Orphanet:261279	DOID:0060405
Orphanet:2380	DOID:14415
Orphanet:739	DOID:11983
Orphanet:701	DOID:0050634
Orphanet:158000	DOID:4424
Orphanet:109	DOID:0050657
Orphanet:99824	DOID:9537
Orphanet:99745	DOID:13258
Orphanet:1194	DOID:0060331
Orphanet:304	DOID:4644
Orphanet:910	DOID:0050427
Orphanet:821	DOID:14748
Orphanet:580	DOID:12799
Orphanet:7	DOID:0060565
Orphanet:41	DOID:0060257
Orphanet:83	DOID:0050462
Orphanet:968	DOID:0080051
Orphanet:1727	DOID:0060436
Orphanet:235	DOID:14796
Orphanet:2014	DOID:674
Orphanet:392	DOID:0060468
Orphanet:1955	DOID:0050981
Orphanet:2841	DOID:0050429
Orphanet:36	DOID:9250
Orphanet:60	DOID:13372
Orphanet:65286	DOID:0060419
Orphanet:1598	DOID:0060406
Orphanet:2406	DOID:12697
Orphanet:829	DOID:14256
Orphanet:846	DOID:1099
Orphanet:190	DOID:7765
Orphanet:89937	DOID:0050948
Orphanet:660	DOID:0060327
Orphanet:397	DOID:13375
Orphanet:250994	DOID:0060435
Orphanet:1513	DOID:0080032
Orphanet:3099	DOID:1586
Orphanet:577	DOID:0080071
Orphanet:1310	DOID:4257
Orphanet:818	DOID:14692
Orphanet:2576	DOID:0050436
Orphanet:583	DOID:12800
Orphanet:22	DOID:0060175
Orphanet:99867	DOID:3275
Orphanet:549	DOID:10458
Orphanet:217346	DOID:0060408
Orphanet:611	DOID:3429
Orphanet:16	DOID:0050679
Orphanet:216	DOID:14503
Orphanet:778	DOID:1206
Orphanet:217340	DOID:0060434
Orphanet:1572	DOID:12177
Orphanet:478	DOID:3614
Orphanet:3265	DOID:0060467
Orphanet:99812	DOID:0060021
Orphanet:2108	DOID:4534
Orphanet:157	DOID:0060235
Orphanet:820	DOID:13096
Orphanet:35687	DOID:4329
Orphanet:214	DOID:9266
Orphanet:35173	DOID:0060292
Orphanet:1764	DOID:11589
Orphanet:685	DOID:2476
Orphanet:167	DOID:2935
Orphanet:252164	DOID:3192
Orphanet:48377	DOID:8508
Orphanet:2908	DOID:0060472
Orphanet:1478	DOID:1882
Orphanet:270	DOID:11719
Orphanet:238750	DOID:0060420
Orphanet:95159	DOID:5230
Orphanet:647	DOID:7400
Orphanet:178481	DOID:0050141
Orphanet:2024	DOID:0060466
Orphanet:191	DOID:2962
Orphanet:223	DOID:12387
Orphanet:1267	DOID:11976
Orphanet:909	DOID:4810
Orphanet:1214	DOID:1757
Orphanet:79241	DOID:856
Orphanet:3156	DOID:0050576
Orphanet:178509	DOID:0060486
Orphanet:58	DOID:4252
Orphanet:510	DOID:1919
Orphanet:79242	DOID:859
Orphanet:845	DOID:3320
Orphanet:206484	DOID:3578
Orphanet:157215	DOID:0050947
Orphanet:950	DOID:14669
Orphanet:796	DOID:3323
Orphanet:79237	DOID:14695
Orphanet:1486	DOID:0060559
Orphanet:99826	DOID:4327
Orphanet:379	DOID:3265
Orphanet:1621	DOID:0060418
Orphanet:333	DOID:0050464
Orphanet:183	DOID:3049
Orphanet:209	DOID:3144
Orphanet:1328	DOID:4997
Orphanet:157850	DOID:3981
Orphanet:37748	DOID:4371
Orphanet:228371	DOID:0050352
Orphanet:773	DOID:10582
Orphanet:524	DOID:3012
Orphanet:169105	DOID:0060028
Orphanet:738	DOID:13268
Orphanet:440	DOID:10892
Orphanet:801	DOID:419
Orphanet:184	DOID:1856
Orphanet:46487	DOID:4313
Orphanet:610	DOID:0050663
Orphanet:3416	DOID:0080036
Orphanet:29	DOID:0050452
Orphanet:199276	DOID:3315
Orphanet:261330	DOID:0060413
Orphanet:599	DOID:11720
Orphanet:140	DOID:0050463
Orphanet:2639	DOID:0050790
Orphanet:245	DOID:5768
Orphanet:565	DOID:1838
Orphanet:168829	DOID:1791
Orphanet:681	DOID:14452
Orphanet:1263	DOID:0050680
Orphanet:2331	DOID:13378
Orphanet:754	DOID:4674
Orphanet:399	DOID:12858
Orphanet:1522	DOID:0080033
Orphanet:813	DOID:14681
Orphanet:377	DOID:2512
Orphanet:859	DOID:0050818
Orphanet:1517	DOID:0060569
Orphanet:79276	DOID:3890
Orphanet:1830	DOID:0060490
Orphanet:87	DOID:12960
Orphanet:96169	DOID:0050880
Orphanet:770	DOID:11260
Orphanet:481	DOID:0060161
Orphanet:809	DOID:3492
Orphanet:261120	DOID:0060392
Orphanet:238468	DOID:14793
Orphanet:1226	DOID:0050655
Orphanet:141	DOID:3613
Orphanet:52	DOID:9245
Orphanet:655	DOID:12712
Orphanet:1915	DOID:0050665
Orphanet:902	DOID:5688
Orphanet:978	DOID:0050601
Orphanet:83461	DOID:11367
Orphanet:699	DOID:0060067
Orphanet:261476	DOID:0060427
Orphanet:791	DOID:10584
Orphanet:303	DOID:4959
Orphanet:2909	DOID:2732
Orphanet:903	DOID:12531
Orphanet:70482	DOID:1107
Orphanet:1229	DOID:0050656
Orphanet:3287	DOID:2508
Orphanet:112	DOID:445
Orphanet:886	DOID:0050439
Orphanet:904	DOID:1928
Orphanet:3452	DOID:8476
Orphanet:3103	DOID:5325
Orphanet:2167	DOID:0060566
