orphanet_code	orphanet_term
Orphanet:79430	Hermansky-Pudlak syndrome
Orphanet:99797	Anodontia
Orphanet:2081	Cerebral gigantism-jaw cysts syndrome
Orphanet:93346	Spondyloepimetaphyseal dysplasia congenita, Strudwick type
Orphanet:2787	Osteoporosis-macrocephaly-blindness-joint hyperlaxity syndrome
Orphanet:2430	Congenital macroglossia
Orphanet:3361	Trichodysplasia-xeroderma syndrome
Orphanet:2712	Oculofaciocardiodental syndrome
Orphanet:79241	Biotinidase deficiency
Orphanet:935	Short-limb skeletal dysplasia with severe combined immunodeficiency
Orphanet:261304	Paternal 20q13.2q13.3 microdeletion syndrome
Orphanet:531	Miller-Dieker syndrome
Orphanet:1911	Cocaine embryofetopathy
Orphanet:3305	Tetraploidy
Orphanet:35125	Epidermal nevus syndrome
Orphanet:85273	X-linked intellectual disability, Abidi type
Orphanet:158000	Juvenile xanthogranuloma
Orphanet:506	Leigh syndrome
Orphanet:965	Acromegaloid facial appearance syndrome
Orphanet:157801	Mesoaxial synostotic syndactyly with phalangeal reduction
Orphanet:79087	Partial acquired lipodystrophy
Orphanet:236	Trisomy 9p
Orphanet:3071	Costello syndrome
Orphanet:1671	Diastematomyelia
Orphanet:1048	Isolated anencephaly/exencephaly
Orphanet:799	Schizencephaly
Orphanet:1309	Medullary sponge kidney
Orphanet:77259	Gaucher disease type 1
Orphanet:66661	Mast cell sarcoma
Orphanet:79476	Griscelli disease type 1
Orphanet:53271	Muenke syndrome
Orphanet:2196	Familial primary hypomagnesemia with hypercalciuria and nephrocalcinosis with severe ocular involvement
Orphanet:1234	Bartsocas-Papas syndrome
Orphanet:800	Schwartz-Jampel syndrome
Orphanet:79235	Crigler-Najjar syndrome type 2
Orphanet:678	Papillon-Lefèvre syndrome
Orphanet:223	Nephrogenic diabetes insipidus
Orphanet:70482	Carcinoma of esophagus
Orphanet:90796	46,XY disorder of sex development due to isolated 17,20-lyase deficiency
Orphanet:478	Kallmann syndrome
Orphanet:2118	Hawkinsinuria
Orphanet:2645	Osteoglophonic dwarfism
Orphanet:66625	Cerebro-oculo-nasal syndrome
Orphanet:79457	Maculopapular cutaneous mastocytosis
