CUI	SAB	CODE	STR
C1720771	HPO	HP:0000034	Hydrocele
C3489396	HPO	HP:0000044	Isolated hypogonadotropic hypogonadism
C0022679	HPO	HP:0000107	Cystic kidney disease
C4020894	HPO	HP:0000176	Submucous clefting
C0158646	HPO	HP:0000202	Cleft lip, cleft palate
C4020890	HPO	HP:0000456	Notched nasal tip
C0015397	HPO	HP:0000478	Eye disease
C1842584	HPO	HP:0000570	Impaired saccades
C4020886	HPO	HP:0000657	Defective or absent horizontal voluntary eye movements
C0004941	HPO	HP:0000708	Behavioral symptoms
C0013491	HPO	HP:0000978	Ecchymoses
C0162835	HPO	HP:0001010	Skin hypopigmentation
C0023798	HPO	HP:0001012	Lipomas
C0423903	HPO	HP:0001249	Low intelligence
C4020874	HPO	HP:0001270	No development of motor milestones
C0026826	HPO	HP:0001276	Muscle hypertonia
C4020871	HPO	HP:0001332	Dystonic disease
C0022408	HPO	HP:0001367	Joint disease
C1862761	HPO	HP:0001402	Increased hepatocellular carcinoma risk
C0746926	HPO	HP:0001482	Multiple, subcutaneous nodules
C1968852	HPO	HP:0001579	ACTH-independent hypercortisolemia
C4020867	HPO	HP:0001660	Persistant truncus arteriosus
C1860394	HPO	HP:0001737	Multiple pancreatic cysts
C0030283	HPO	HP:0001737	Pancreatic cyst
C4020866	HPO	HP:0001772	Equinovalgus deformity
C4020862	HPO	HP:0001877	Abnormality of erythroid lineage cell
C0085307	HPO	HP:0001907	Embolism and thrombosis
C1292120	HPO	HP:0001978	Extramedullary erythropoiesis
C3151520	HPO	HP:0001989	Early severe fetal akinesia sequence
C1276035	HPO	HP:0001989	Fetal akinesia
C4020858	HPO	HP:0002072	Choreatic disease
C0013404	HPO	HP:0002094	Shortness of breath
C0027746	HPO	HP:0002180	Progressive neurodegenerative disorder
C1857042	HPO	HP:0002209	Thin scalp hair
C0877359	HPO	HP:0002910	Elevated liver function tests
C0426414	HPO	HP:0003196	Small nose
C0544820	HPO	HP:0003429	hypomyelination
C4020836	HPO	HP:0003893	Advanced maturation of the humeral epiphyses
C4020834	HPO	HP:0004051	Advanced maturation of the hand bones
C2673652	HPO	HP:0004580	Anterior scalloping vertebral bodies
C0238115	HPO	HP:0005203	Boerhaave syndrome
C0017155	HPO	HP:0005246	Menetrier disease
C4020823	HPO	HP:0005411	Candida overgrowth syndrome
C1855239	HPO	HP:0006059	Metacarpal cone-shaped epiphyses
C4020814	HPO	HP:0006544	Diaphragmatic sequestrum
C4020813	HPO	HP:0006753	Increased gastric cancer
C4020810	HPO	HP:0007266	White matter dysmyelination/demyelination
C4020806	HPO	HP:0007936	Restrictive external opthalmoplegia, bilateral
C2937228	HPO	HP:0007994	Tunnel vision
C4020805	HPO	HP:0008191	Athyroidal hypothyroidism
C4020802	HPO	HP:0008277	Abnormal zinc metabolism
C4020797	HPO	HP:0008569	Cockleshell ear
C4020794	HPO	HP:0008569	Severe cupped ear, type III
C4020790	HPO	HP:0008659	Medullary sponge kidney disease
C4020780	HPO	HP:0009659	Aplasia of the phalanges of the thumb
C1856119	HPO	HP:0009765	Columella extends below the ala nasi
C4020777	HPO	HP:0009891	Underdeveloped brows
C1846464	HPO	HP:0009921	Globe retraction and deviation on adduction
C0017178	HPO	HP:0011024	Gastrointestinal disease
C0037769	HPO	HP:0011097	West syndrome
C0020186	HPO	HP:0012413	Hutchinson's teeth
C0035258	HPO	HP:0012452	Wittmaack-Ekbom syndrome
C1561643	HPO	HP:0012622	Loss of renal function
C0266427	HPO	HP:0012870	Testicular regression syndrome
C0017145	HPO	HP:0030169	Gastric varices
C1458155	HPO	HP:0100013	Neoplasia of the breast
C0041955	HPO	HP:0100516	Neoplasia of the ureters
C0241128	HPO	HP:0100792	Nikolsky's sign
C1848765	HPO	HP:0100840	Sparse/absent eyebrows
C0266298	HPO	HP:0000075	Supernumerary kidney
C0022658	HPO	HP:0000077	Kidney disease
C4020895	HPO	HP:0000119	Genitourinary dysplasia
C1866234	HPO	HP:0000232	Protruding lower lip
C4020889	HPO	HP:0000481	Cornela disease
C0009398	HPO	HP:0000551	Color vision defect
C1852169	HPO	HP:0000700	Periapical radiolucencies
C0497247	HPO	HP:0000822	Elevated blood pressure
C0152459	HPO	HP:0001065	Stretch marks
C4020878	HPO	HP:0001072	Diffusely thickened skin
C0344509	HPO	HP:0001092	Agenesis of the lacrimal punctum
C0014544	HPO	HP:0001250	Epilepsy
C4020875	HPO	HP:0001263	Mental and motor retardation
C4020873	HPO	HP:0001272	Infratentorial atrophy
