orphanet	do
Orphanet:101076	DOID:0110208
Orphanet:2203	DOID:9274
Orphanet:329802	DOID:0060460
Orphanet:100043	DOID:0110202
Orphanet:30391	DOID:13608
Orphanet:91489	DOID:0060305
Orphanet:100989	DOID:0110823
Orphanet:75249	DOID:397
Orphanet:329284	DOID:0110739
Orphanet:247698	DOID:0050430
Orphanet:2254	DOID:0060265
Orphanet:2254	DOID:0060266
Orphanet:55596	DOID:0110306
Orphanet:157846	DOID:0110737
Orphanet:98791	DOID:0110029
Orphanet:65279	DOID:0060184
Orphanet:100995	DOID:0110767
Orphanet:320380	DOID:0110806
Orphanet:95430	DOID:0060313
Orphanet:238557	DOID:0060474
Orphanet:1652	DOID:0050699
Orphanet:3463	DOID:0110630
Orphanet:3463	DOID:0110629
Orphanet:363623	DOID:0110294
Orphanet:910	DOID:0110849
Orphanet:910	DOID:0110847
Orphanet:910	DOID:0110846
Orphanet:910	DOID:0110845
Orphanet:910	DOID:0110850
Orphanet:910	DOID:0110844
Orphanet:910	DOID:0110843
Orphanet:910	DOID:0110848
Orphanet:217034	DOID:14227
Orphanet:459056	DOID:0110820
Orphanet:52428	DOID:0110635
Orphanet:1906	DOID:0060471
Orphanet:84	DOID:13636
Orphanet:90649	DOID:0060377
Orphanet:98863	DOID:11726
Orphanet:2182	DOID:10908
Orphanet:101972	DOID:628
Orphanet:50945	DOID:0060387
Orphanet:261	DOID:11726
Orphanet:98894	DOID:0110637
Orphanet:93921	DOID:8712
Orphanet:101068	DOID:0060445
Orphanet:98961	DOID:0060453
Orphanet:243	DOID:14450
Orphanet:394	DOID:9263
Orphanet:247	DOID:0050431
Orphanet:141000	DOID:0060381
Orphanet:373	DOID:0060248
Orphanet:1425	DOID:0060462
Orphanet:99955	DOID:0110191
Orphanet:1635	DOID:701
Orphanet:1331	DOID:10283
Orphanet:64747	DOID:0050542
Orphanet:1522	DOID:0080033
Orphanet:447964	DOID:0110178
Orphanet:139498	DOID:2352
Orphanet:848	DOID:12241
Orphanet:581	DOID:12801
Orphanet:3261	DOID:6688
Orphanet:71493	DOID:2224
Orphanet:164736	DOID:0050628
Orphanet:2021	DOID:0060465
Orphanet:896	DOID:9258
Orphanet:3403	DOID:0110070
Orphanet:2466	DOID:0060246
Orphanet:56	DOID:9270
Orphanet:352670	DOID:0110206
Orphanet:2896	DOID:0060488
Orphanet:90322	DOID:2962
Orphanet:34516	DOID:0110305
Orphanet:1860	DOID:13481
