hp_code	hp_term	mesh_code
HP:0009829	Phocomelia	MESH:D004480
HP:0012622	Chronic kidney disease	MESH:D051436
HP:0001596	Alopecia	MESH:D000505
HP:0009601	Aplasia/Hypoplasia of the thumb	MESH:C536903
HP:0000666	Horizontal nystagmus	MESH:D009759
HP:0100648	Neoplasm of the tongue	MESH:D014062
HP:0000703	Dentinogenesis imperfecta	MESH:D003811
HP:0001765	Hammertoe	MESH:D037801
HP:0001931	Hypochromic anemia	MESH:D000747
HP:0006519	Alveolar cell carcinoma	MESH:D002282
HP:0002362	Shuffling gait	MESH:D020233
HP:0003067	Madelung deformity	MESH:C562398
HP:0003750	Increased muscle fatiguability	MESH:D018763
HP:0004905	Vitamin A deficiency	MESH:D014802
HP:0011107	Recurrent aphthous stomatitis	MESH:D013281
HP:0006767	Pituitary prolactin cell adenoma	MESH:D015175
HP:0012120	Methylmalonic aciduria	MESH:C537358
HP:0004099	Macrodactyly	MESH:C562546
HP:0040198	Non-medullary thyroid carcinoma	MESH:C536915
HP:0100534	Episcleritis	MESH:D015423
HP:0003235	Hypermethioninemia	MESH:C564683
HP:0010566	Hamartoma	MESH:D006222
HP:0000855	Insulin resistance	MESH:D007333
HP:0005973	Fructose intolerance	MESH:D005633
HP:0005561	Abnormality of bone marrow cell morphology	MESH:D001855
HP:0011349	Abducens palsy	MESH:C564661
HP:0011349	Abducens palsy	MESH:D020434
HP:0100588	Paraphimosis	MESH:D010263
HP:0012669	Carotid sinus syncope	MESH:D013575
HP:0001602	Laryngeal stenosis	MESH:D007829
HP:0008677	Congenital nephrotic syndrome	MESH:C535761
HP:0100844	Pancreatic fistula	MESH:D010185
HP:0001025	Urticaria	MESH:D014581
HP:0100850	Neoplasm of the penis	MESH:D010412
HP:0001663	Ventricular fibrillation	MESH:D014693
HP:0002232	Patchy alopecia	MESH:C531609
HP:0100252	Diaphyseal dysplasia	MESH:D003966
HP:0001708	Right ventricular failure	MESH:D006333
HP:0011089	Double tooth	MESH:D005671
HP:0004822	Atypical elliptocytosis	MESH:C565598
HP:0000160	Narrow mouth	MESH:D008865
HP:0100007	Neoplasm of the peripheral nervous system	MESH:D010524
HP:0003743	Genetic anticipation	MESH:D020132
HP:0001644	Dilated cardiomyopathy	MESH:D002311
HP:0100519	Anuria	MESH:D001002
HP:0000739	Anxiety	MESH:D001007
HP:0005798	Posterior radial head dislocation	MESH:C566728
HP:0010861	Incomplete breech presentation	MESH:D001946
HP:0001942	Metabolic acidosis	MESH:D000138
HP:0030434	Pilomatrixoma	MESH:D018296
HP:0100504	Vitamin B2 deficiency	MESH:D012257
HP:0002099	Asthma	MESH:D001249
HP:0001941	Acidosis	MESH:D000138
HP:0002786	Tracheobronchomalacia	MESH:D055089
HP:0006870	Lobar holoprosencephaly	MESH:D016142
HP:0000794	IgA deposition in the glomerulus	MESH:D005922
HP:0002047	Malignant hyperthermia	MESH:D008305
HP:0030713	Vein of Galen aneurysmal malformation	MESH:C536535
HP:0003260	Hydroxyprolinemia	MESH:C562669
HP:0002134	Abnormality of the basal ganglia	MESH:D001480
HP:0008368	Tarsal synostosis	MESH:D000070604
HP:0030127	Endometriosis	MESH:D004715
HP:0010788	Testicular neoplasm	MESH:D013736
HP:0002109	Abnormality of the bronchi	MESH:D001982
HP:0100834	Neoplasm of the large intestine	MESH:D015179
HP:0100962	Shyness	MESH:D012792
HP:0000581	Blepharophimosis	MESH:D016569
HP:0002315	Headache	MESH:D006261
HP:0002637	Cerebral ischemia	MESH:D002545
HP:0030448	Soft tissue sarcoma	MESH:D012509
HP:0030222	Visual agnosia	MESH:D000377
HP:0001102	Angioid streaks of the retina	MESH:D000793
HP:0010867	Dyssynergia	MESH:D001259
HP:0001667	Right ventricular hypertrophy	MESH:D017380
HP:0012459	Hypnic headache	MESH:D051270
HP:0012209	Juvenile myelomonocytic leukemia	MESH:D054429
HP:0004430	Severe combined immunodeficiency	MESH:D016511
HP:0001332	Dystonia	MESH:D004421
HP:0007227	Macrogyria	MESH:D054082
HP:0001909	Leukemia	MESH:D019337
HP:0001909	Leukemia	MESH:D007938
HP:0100580	Barrett esophagus	MESH:D001471
HP:0011986	Ectopic ossification	MESH:D009999
HP:0008469	Cervical vertebral dysplasia	MESH:C566140
HP:0002352	Leukoencephalopathy	MESH:D056784
HP:0001626	Abnormality of the cardiovascular system	MESH:D002318
HP:0001626	Abnormality of the cardiovascular system	MESH:D018376
HP:0030157	Flank pain	MESH:D021501
HP:0000991	Xanthomatosis	MESH:D014973
HP:0011276	Vascular skin abnormality	MESH:D017445
HP:0030076	Lobular carcinoma in situ	MESH:D000071960
HP:0001719	Double outlet right ventricle	MESH:D004310
HP:0007947	Pericentral retinitis pigmentosa	MESH:C564838
HP:0011919	Pleural empyema	MESH:D016724
HP:0010941	Aplasia of the nasal bone	MESH:C562753
HP:0009919	Retinoblastoma	MESH:D012175
HP:0009919	Retinoblastoma	MESH:D019572
HP:0100661	Trigeminal neuralgia	MESH:D014277
HP:0012199	Cluster headache	MESH:D003027
HP:0002354	Memory impairment	MESH:D008569
HP:0030063	Neuroepithelial neoplasm	MESH:D018302
HP:0002090	Pneumonia	MESH:D011014
HP:0002066	Gait ataxia	MESH:D020234
HP:0000670	Carious teeth	MESH:D003731
HP:0007260	Type II lissencephaly	MESH:D054222
HP:0000015	Bladder diverticulum	MESH:C562406
HP:0009589	Bilateral vestibular Schwannoma	MESH:D016518
HP:0002740	Recurrent E. coli infections	MESH:D004927
HP:0010550	Paraplegia	MESH:D010264
HP:0003201	Rhabdomyolysis	MESH:D012206
HP:0004535	Anterior cervical hypertrichosis	MESH:C538390
HP:0009892	Anotia	MESH:D065817
HP:0001623	Breech presentation	MESH:D001946
HP:0002326	Transient ischemic attack	MESH:D002546
HP:0100827	Lymphocytosis	MESH:D008218
HP:0009733	Glioma	MESH:D005910
HP:0001406	Intrahepatic cholestasis	MESH:D002780
HP:0012424	Chorioretinitis	MESH:D002825
HP:0001081	Cholelithiasis	MESH:D002769
HP:0003225	Reduced factor V activity	MESH:D005166
HP:0000024	Prostatitis	MESH:D011472
HP:0010734	Fibrous dysplasia of the bones	MESH:D005357
HP:0012533	Allodynia	MESH:D006930
HP:0000787	Nephrolithiasis	MESH:D053040
HP:0011946	Bronchiolitis obliterans	MESH:D001989
HP:0010547	Muscle flaccidity	MESH:D009123
HP:0012452	Restless legs	MESH:D012148
HP:0001004	Lymphedema	MESH:D008209
HP:0002913	Myoglobinuria	MESH:D009212
HP:0008211	Parathyroid agenesis	MESH:C563238
HP:0012720	Neoplasm of the nose	MESH:D009669
HP:0008258	Congenital adrenal hyperplasia	MESH:D000312
HP:0001712	Left ventricular hypertrophy	MESH:D017379
HP:0002858	Meningioma	MESH:D008579
