orphanet	do
Orphanet:3193	DOID:1929
Orphanet:100045	DOID:0110199
Orphanet:216804	DOID:0110341
Orphanet:374	DOID:2907
Orphanet:55880	DOID:3371
Orphanet:332	DOID:0050734
Orphanet:397	DOID:13375
Orphanet:171863	DOID:0110794
Orphanet:398961	DOID:3606
Orphanet:1656	DOID:8505
Orphanet:908	DOID:14261
Orphanet:34528	DOID:0060885
Orphanet:2098	DOID:0080052
Orphanet:294963	DOID:0060055
Orphanet:1915	DOID:0050665
Orphanet:1187	DOID:0050647
Orphanet:139480	DOID:0110790
Orphanet:3135	DOID:13300
Orphanet:932	DOID:0080043
Orphanet:93952	DOID:0060806
Orphanet:1479	DOID:0110112
Orphanet:599	DOID:11720
Orphanet:354	DOID:3322
Orphanet:2380	DOID:14415
Orphanet:2066	DOID:0060174
Orphanet:813	DOID:14681
Orphanet:217632	DOID:397
Orphanet:631	DOID:0060870
Orphanet:3320	DOID:14699
Orphanet:52759	DOID:865
Orphanet:251618	DOID:5077
Orphanet:93256	DOID:0050879
Orphanet:99937	DOID:0110182
Orphanet:244	DOID:9562
Orphanet:3057	DOID:0060693
Orphanet:423975	DOID:4434
Orphanet:3392	DOID:2123
Orphanet:238593	DOID:8283
Orphanet:139455	DOID:0050662
Orphanet:597	DOID:3529
Orphanet:627	DOID:0060599
Orphanet:26793	DOID:0080155
Orphanet:280779	DOID:0110228
Orphanet:166	DOID:10595
Orphanet:1878	DOID:0110282
Orphanet:98963	DOID:0060444
Orphanet:1163	DOID:13564
Orphanet:297	DOID:0050175
Orphanet:2136	DOID:0060366
Orphanet:388	DOID:10487
Orphanet:3261	DOID:6688
Orphanet:98523	DOID:0060264
Orphanet:2788	DOID:0060849
Orphanet:284160	DOID:0060425
Orphanet:139515	DOID:0110184
Orphanet:86819	DOID:0060689
Orphanet:420485	DOID:0090052
Orphanet:263440	DOID:0050765
Orphanet:461	DOID:1700
Orphanet:3156	DOID:0050576
Orphanet:370396	DOID:6179
Orphanet:251627	DOID:3181
Orphanet:726	DOID:1442
Orphanet:647	DOID:7400
Orphanet:27	DOID:0060740
Orphanet:3416	DOID:0080036
Orphanet:231183	DOID:0110828
Orphanet:100046	DOID:0110200
Orphanet:206549	DOID:0110284
Orphanet:654	DOID:2154
Orphanet:75377	DOID:9822
Orphanet:826	DOID:14484
Orphanet:98578	DOID:0060260
Orphanet:314753	DOID:5395
Orphanet:303	DOID:4959
Orphanet:79473	DOID:4346
Orphanet:1507	DOID:0060764
Orphanet:79396	DOID:0060735
Orphanet:397968	DOID:0110161
Orphanet:247203	DOID:4464
Orphanet:435387	DOID:0110168
Orphanet:288	DOID:2373
Orphanet:206554	DOID:0110296
Orphanet:2398	DOID:14116
Orphanet:2323	DOID:0060348
Orphanet:251019	DOID:0060428
Orphanet:2768	DOID:14798
Orphanet:252175	DOID:12689
Orphanet:1572	DOID:12177
Orphanet:275555	DOID:10591
Orphanet:66661	DOID:355
Orphanet:64748	DOID:0050540
Orphanet:423	DOID:8545
Orphanet:847	DOID:0110030
Orphanet:1775	DOID:2729
Orphanet:3144	DOID:0050775
Orphanet:98634	DOID:0050786
Orphanet:100034	DOID:0110053
Orphanet:79476	DOID:0060832
