orphanumber	doid
Orphanet:101076	DOID:0110208
Orphanet:56	DOID:9270
Orphanet:84	DOID:13636
Orphanet:2182	DOID:10908
Orphanet:50945	DOID:0060387
Orphanet:394	DOID:9263
Orphanet:848	DOID:12241
Orphanet:896	DOID:9258
Orphanet:2466	DOID:0060246
Orphanet:95429	DOID:4028
Orphanet:2337	DOID:0050428
Orphanet:569	DOID:0060178
Orphanet:124	DOID:1339
Orphanet:636	DOID:8712
Orphanet:2822	DOID:0110764
Orphanet:910	DOID:0110849
Orphanet:910	DOID:0110847
Orphanet:910	DOID:0110846
Orphanet:910	DOID:0110845
Orphanet:910	DOID:0110850
Orphanet:910	DOID:0110844
Orphanet:910	DOID:0110843
Orphanet:910	DOID:0110848
Orphanet:808	DOID:0050569
Orphanet:2750	DOID:0060316
Orphanet:79301	DOID:0050674
Orphanet:447	DOID:0060284
Orphanet:355	DOID:1926
Orphanet:902	DOID:5688
Orphanet:1621	DOID:0060418
Orphanet:2065	DOID:0060364
Orphanet:1786	DOID:0060384
Orphanet:171851	DOID:0060483
Orphanet:209	DOID:3144
Orphanet:920	DOID:0060550
Orphanet:96125	DOID:0060422
Orphanet:251019	DOID:0060428
Orphanet:596	DOID:14717
Orphanet:293843	DOID:0060225
Orphanet:101075	DOID:0110209
Orphanet:231178	DOID:0110838
Orphanet:231178	DOID:0110840
Orphanet:231178	DOID:0110827
Orphanet:231178	DOID:0110839
Orphanet:79262	DOID:0110729
Orphanet:79262	DOID:0110721
Orphanet:79262	DOID:0110725
Orphanet:79262	DOID:0110727
Orphanet:79262	DOID:0110730
Orphanet:79262	DOID:14503
Orphanet:79262	DOID:0110732
Orphanet:79262	DOID:0110720
Orphanet:94065	DOID:0060395
Orphanet:99878	DOID:11202
Orphanet:369	DOID:2754
Orphanet:1493	DOID:0060356
Orphanet:408	DOID:0060363
Orphanet:137	DOID:5212
Orphanet:1775	DOID:2729
Orphanet:99000	DOID:0050661
Orphanet:86788	DOID:0050590
Orphanet:2323	DOID:0060348
Orphanet:2162	DOID:4621
Orphanet:1652	DOID:0050699
Orphanet:75496	DOID:0050802
Orphanet:231169	DOID:0110834
Orphanet:231169	DOID:0110835
Orphanet:231169	DOID:0110833
Orphanet:231169	DOID:0110826
Orphanet:231169	DOID:0110831
Orphanet:231169	DOID:0110837
Orphanet:231169	DOID:0110836
Orphanet:231169	DOID:0110830
Orphanet:231169	DOID:0110832
Orphanet:373	DOID:0060248
Orphanet:241	DOID:0060304
Orphanet:1620	DOID:0060417
Orphanet:139436	DOID:11824
Orphanet:223	DOID:12387
Orphanet:38	DOID:0060362
Orphanet:783	DOID:1933
Orphanet:55654	DOID:4535
Orphanet:251	DOID:12721
Orphanet:261279	DOID:0060405
Orphanet:524	DOID:3012
Orphanet:1231	DOID:0060549
Orphanet:1414	DOID:6691
Orphanet:3265	DOID:0060467
Orphanet:2311	DOID:0050568
Orphanet:93274	DOID:13481
Orphanet:144	DOID:3883
Orphanet:261330	DOID:0060413
Orphanet:1147	DOID:0050646
Orphanet:250999	DOID:0060412
Orphanet:217340	DOID:0060434
Orphanet:95494	DOID:9406
Orphanet:98791	DOID:0110029
Orphanet:93474	DOID:0060222
Orphanet:1788	DOID:0060383
Orphanet:35069	DOID:0110736
Orphanet:35069	DOID:0110735
Orphanet:79430	DOID:3753
Orphanet:1830	DOID:0060490
Orphanet:2710	DOID:0060291
Orphanet:39044	DOID:6039
Orphanet:101078	DOID:0110212
Orphanet:276399	DOID:0050489
Orphanet:1194	DOID:0060331
Orphanet:116	DOID:5572
Orphanet:3156	DOID:0050576
Orphanet:261476	DOID:0060427
Orphanet:177	DOID:2580
Orphanet:71	DOID:0060357
Orphanet:1478	DOID:1882
Orphanet:321	DOID:206
Orphanet:821	DOID:14748
Orphanet:2322	DOID:0060473
Orphanet:3204	DOID:0060354
Orphanet:65	DOID:0110333
Orphanet:65	DOID:0110332
Orphanet:65	DOID:0110005
Orphanet:65	DOID:0110118
Orphanet:65	DOID:0110217
Orphanet:65	DOID:0110329
Orphanet:65	DOID:0110216
Orphanet:65	DOID:0110016
Orphanet:65	DOID:0110079
Orphanet:65	DOID:0110189
Orphanet:65	DOID:0110078
Orphanet:65	DOID:0110291
Orphanet:65	DOID:0110215
Orphanet:65	DOID:0110188
Orphanet:65	DOID:14791
Orphanet:65	DOID:0110331
Orphanet:65	DOID:0110080
Orphanet:65	DOID:0110330
Orphanet:99879	DOID:13543
Orphanet:1300	DOID:0060055
Orphanet:1359	DOID:0050471
Orphanet:3152	DOID:0060251
Orphanet:2655	DOID:13481
Orphanet:99015	DOID:0110773
Orphanet:886	DOID:0050439
Orphanet:52429	DOID:0060232
Orphanet:777	DOID:0050776
Orphanet:41	DOID:0060257
Orphanet:194	DOID:12270
Orphanet:172	DOID:1852
Orphanet:168491	DOID:0110722
Orphanet:168491	DOID:0110725
