orphanumber	doid
Orphanet:90291	DOID:418
Orphanet:374	DOID:2907
Orphanet:397	DOID:13375
Orphanet:2098	DOID:0080052
Orphanet:1915	DOID:0050665
Orphanet:1187	DOID:0050647
Orphanet:3135	DOID:13300
Orphanet:599	DOID:11720
Orphanet:354	DOID:3322
Orphanet:2380	DOID:14415
Orphanet:813	DOID:14681
Orphanet:631	DOID:0060870
Orphanet:3320	DOID:14699
Orphanet:3057	DOID:0060693
Orphanet:99828	DOID:12205
Orphanet:597	DOID:3529
Orphanet:627	DOID:0060599
Orphanet:166	DOID:10595
Orphanet:1878	DOID:0110282
Orphanet:388	DOID:10487
Orphanet:284160	DOID:0060425
Orphanet:125	DOID:2717
Orphanet:2822	DOID:0110764
Orphanet:3156	DOID:0050576
Orphanet:647	DOID:7400
Orphanet:99812	DOID:0060021
Orphanet:3416	DOID:0080036
Orphanet:99829	DOID:9682
Orphanet:654	DOID:2154
Orphanet:87	DOID:12960
Orphanet:169105	DOID:0060028
Orphanet:303	DOID:4959
Orphanet:435387	DOID:0110168
Orphanet:2398	DOID:14116
Orphanet:2323	DOID:0060348
Orphanet:251019	DOID:0060428
Orphanet:1572	DOID:12177
Orphanet:1775	DOID:2729
Orphanet:49382	DOID:13911
Orphanet:90000	DOID:0060567
Orphanet:79476	DOID:0060832
Orphanet:163690	DOID:0060858
Orphanet:83	DOID:0050462
Orphanet:66629	DOID:0060481
Orphanet:2050	DOID:0060438
Orphanet:79237	DOID:14695
Orphanet:859	DOID:0050818
Orphanet:85321	DOID:0060830
Orphanet:64741	DOID:4765
Orphanet:94058	DOID:1687
Orphanet:240	DOID:0060847
Orphanet:79242	DOID:859
Orphanet:558	DOID:14323
Orphanet:98850	DOID:4798
Orphanet:530	DOID:14498
Orphanet:261211	DOID:0060400
Orphanet:978	DOID:0050601
Orphanet:280062	DOID:4734
Orphanet:793	DOID:13677
Orphanet:55881	DOID:2776
Orphanet:2466	DOID:0060246
Orphanet:512	DOID:10581
Orphanet:79456	DOID:3665
Orphanet:99798	DOID:0050591
Orphanet:14	DOID:1386
Orphanet:2911	DOID:12961
Orphanet:269	DOID:11727
Orphanet:221	DOID:10223
Orphanet:234	DOID:12308
Orphanet:2655	DOID:13481
Orphanet:797	DOID:11335
Orphanet:710	DOID:14705
Orphanet:333	DOID:0050464
Orphanet:677	DOID:6823
Orphanet:1465	DOID:1925
Orphanet:100026	DOID:0060127
Orphanet:175	DOID:14773
Orphanet:1106	DOID:0060861
Orphanet:83465	DOID:8986
Orphanet:79273	DOID:13269
Orphanet:90290	DOID:0060218
Orphanet:189439	DOID:0060280
Orphanet:251	DOID:12721
Orphanet:109	DOID:0050657
Orphanet:2768	DOID:14798
Orphanet:2710	DOID:0060291
Orphanet:2573	DOID:13099
Orphanet:890	DOID:0080177
Orphanet:214	DOID:9266
Orphanet:127	DOID:0050681
Orphanet:606	DOID:0050759
Orphanet:701	DOID:0050634
Orphanet:1478	DOID:1882
Orphanet:261265	DOID:0060404
Orphanet:157846	DOID:0110737
Orphanet:48104	DOID:8553
Orphanet:1155	DOID:0110631
Orphanet:3449	DOID:0050475
Orphanet:33069	DOID:0060171
Orphanet:97285	DOID:10011
Orphanet:611	DOID:3429
Orphanet:461	DOID:1700
Orphanet:270	DOID:11719
Orphanet:90309	DOID:14720
Orphanet:233	DOID:12557
Orphanet:526	DOID:0050477
Orphanet:261330	DOID:0060413
Orphanet:2790	DOID:0080037
Orphanet:1414	DOID:6691
Orphanet:79455	DOID:3666
Orphanet:1786	DOID:0060384
Orphanet:905	DOID:893
Orphanet:79396	DOID:0060735
Orphanet:2807	DOID:2626
Orphanet:1955	DOID:0050981
Orphanet:67048	DOID:0110006
Orphanet:2771	DOID:0060231
Orphanet:97283	DOID:4430
Orphanet:2971	DOID:0050797
Orphanet:635	DOID:769
Orphanet:99797	DOID:13714
Orphanet:2152	DOID:0060485
