orphanet_code	orphanet_term
Orphanet:232	Sickle cell anemia
Orphanet:2075	Genito-palato-cardiac syndrome
Orphanet:9	Tetrasomy X
Orphanet:184	Cherubism
Orphanet:1120	Lung agenesis-heart defect-thumb anomalies syndrome
Orphanet:36	Acrocallosal syndrome
Orphanet:2124	Cavernous hemangiomas of face-supraumbilical midline raphe syndrome
Orphanet:1642	Distal monosomy 9p
Orphanet:586	Cystic fibrosis
Orphanet:3289	Taurodontism
Orphanet:168558	46,XY disorder of sex development-adrenal insufficiency due to CYP11A1 deficiency syndrome
Orphanet:85335	Fried syndrome
Orphanet:710	Pfeiffer syndrome
Orphanet:99832	Resistance to thyrotropin-releasing hormone syndrome
Orphanet:52417	MALT lymphoma
Orphanet:289176	Autosomal recessive hypophosphatemic rickets
Orphanet:1928	Congenital lobar emphysema
Orphanet:701	Alopecia universalis
Orphanet:2760	OSLAM syndrome
Orphanet:3448	Weaver-Williams syndrome
Orphanet:46627	Char syndrome
Orphanet:32	Glutathione synthetase deficiency
Orphanet:1664	Embryonary disorganization syndrome
Orphanet:3320	Thrombocytopenia-absent radius syndrome
Orphanet:364	Glycogen storage disease due to glucose-6-phosphatase deficiency
Orphanet:52429	Branchio-otic syndrome
Orphanet:137	Congenital disorder of glycosylation
Orphanet:75501	Ehlers-Danlos syndrome, fibronectinemic type
Orphanet:3429	Verloove Vanhorick-Brubakk syndrome
Orphanet:140936	Lelis syndrome
Orphanet:79168	Disorder of bile acid synthesis
Orphanet:329475	Spastic paraplegia-Paget disease of bone syndrome
Orphanet:99735	Myotonia permanens
Orphanet:108	Babesiosis
Orphanet:1166	Congenital unilateral hypoplasia of depressor anguli oris
Orphanet:79292	Fish-eye disease
Orphanet:1702	Non-distal trisomy 13q
Orphanet:168491	Late infantile neuronal ceroid lipofuscinosis
Orphanet:1962	Exostoses-anetodermia-brachydactyly type E syndrome
Orphanet:2976	Pseudoleprechaunism syndrome, Patterson type
Orphanet:380	Greig cephalopolysyndactyly syndrome
Orphanet:1435	Choroideremia-deafness-obesity syndrome
Orphanet:261250	16q24.3 microdeletion syndrome
Orphanet:1236	Severe microbrachycephaly-intellectual disability-athetoid cerebral palsy syndrome
Orphanet:2663	Nathalie syndrome
Orphanet:69061	Idiopathic steroid-sensitive nephrotic syndrome
Orphanet:813	Silver-Russell syndrome
Orphanet:779	Reynolds syndrome
Orphanet:1658	Absence of fingerprints-congenital milia syndrome
Orphanet:1373	Cataract-aberrant oral frenula-growth delay syndrome
Orphanet:397685	Familial  hyperprolactinemia
Orphanet:48431	Congenital cataracts-facial dysmorphism-neuropathy syndrome
Orphanet:417	Neonatal severe primary hyperparathyroidism
Orphanet:1865	Dyssegmental dysplasia, Silverman-Handmaker type
Orphanet:170	Woolly hair
Orphanet:276399	Familial multinodular goiter
Orphanet:131	Budd-Chiari syndrome
Orphanet:3406	Ulerythema ophryogenesis
Orphanet:284400	Small cell carcinoma of the bladder
Orphanet:2710	Oculodentodigital dysplasia
Orphanet:100026	Gamma-heavy chain disease
Orphanet:199	Cornelia de Lange syndrome
Orphanet:261337	Distal 22q11.2 microduplication syndrome
Orphanet:1448	Ring chromosome 6
Orphanet:912	Zellweger syndrome
Orphanet:901	Wells syndrome
Orphanet:85334	X-linked neurodegenerative syndrome, Bertini type
Orphanet:1995	Cleft lip-retinopathy syndrome
Orphanet:1875	Congenital muscular dystrophy-infantile cataract-hypogonadism syndrome
Orphanet:66518	Short fifth metacarpals-insulin resistance syndrome
Orphanet:178382	Congenital vertical talus
Orphanet:731	Autosomal recessive polycystic kidney disease
Orphanet:261102	Distal 7q11.23 microduplication syndrome
Orphanet:228277	Familial anetoderma
Orphanet:401942	Familial median cleft of the upper and lower lips
Orphanet:79397	Epidermolysis bullosa simplex with mottled pigmentation
Orphanet:79481	Pemphigus foliaceus
Orphanet:2167	Holzgreve-Wagner-Rehder syndrome
Orphanet:99776	Mosaic trisomy 9
Orphanet:276608	Adult-onset non-insulinoma persistent hyperinsulinemic hypoglycemia
Orphanet:2141	Diaphragmatic defect-limb deficiency-skull defect syndrome
Orphanet:69736	Bilateral acute depigmentation of the iris
Orphanet:1848	Renal agenesis, bilateral
Orphanet:65682	Benign recurrent intrahepatic cholestasis
Orphanet:1035	Encephalopathy due to beta-mercaptolactate-cysteine disulfiduria
Orphanet:2305	Isotretinoin syndrome
Orphanet:66661	Mast cell sarcoma
Orphanet:261204	16p11.2p12.2 microduplication syndrome
Orphanet:157801	Mesoaxial synostotic syndactyly with phalangeal reduction
Orphanet:85317	X-linked intellectual disability-hypogammaglobulinemia-progressive neurological deterioration syndrome
Orphanet:90289	Localized scleroderma
Orphanet:46485	Superficial pemphigus
Orphanet:309108	Pancreatic colipase deficiency
Orphanet:93	Aspartylglucosaminuria
Orphanet:1941	Juvenile absence epilepsy
Orphanet:228402	2q23.1 microdeletion syndrome
Orphanet:558	Marfan syndrome
Orphanet:1527	Craniosynostosis, Philadelphia type
Orphanet:100006	ABeta amyloidosis, Dutch type
Orphanet:79239	Classic galactosemia
Orphanet:26790	Pseudomyxoma peritonei
Orphanet:93308	Multiple epiphyseal dysplasia type 1
Orphanet:2053	Freeman-Sheldon syndrome
Orphanet:85165	Severe achondroplasia-developmental delay-acanthosis nigricans syndrome
Orphanet:324713	ABeta amyloidosis, Italian type
Orphanet:817	Peeling skin syndrome
Orphanet:950	Acrodysostosis
Orphanet:660	Omphalocele
Orphanet:2983	Disorder of sex development-intellectual disability syndrome
Orphanet:261236	16p13.11 microdeletion syndrome
Orphanet:597	Central core disease
Orphanet:2717	Oculotrichoanal syndrome
Orphanet:481	Kennedy disease
Orphanet:500	Noonan syndrome with multiple lentigines
Orphanet:47045	Familial cold urticaria
Orphanet:79319	MPI-CDG
Orphanet:3205	Sturge-Weber syndrome
Orphanet:73272	Growth delay due to insulin-like growth factor type 1 deficiency
Orphanet:101041	Familial hypofibrinogenemia
Orphanet:79327	ALG1-CDG
Orphanet:2139	Hernández-Aguirre Negrete syndrome
Orphanet:391487	Autoimmune enteropathy and endocrinopathy-susceptibility to chronic infections syndrome
Orphanet:444002	11q22.2q22.3 microdeletion syndrome
Orphanet:254351	Distal 7q11.23 microdeletion syndrome
Orphanet:48372	Nodular regenerative hyperplasia of the liver
Orphanet:3006	Pyridoxine-dependent epilepsy
Orphanet:157846	Neuroferritinopathy
Orphanet:88635	Myopathy due to calsequestrin and SERCA1 protein overload
Orphanet:96061	Mosaic trisomy 8
Orphanet:22	Succinic semialdehyde dehydrogenase deficiency
Orphanet:93359	Spondyloepimetaphyseal dysplasia with joint laxity
Orphanet:53715	Familial tumoral calcinosis
Orphanet:702	Pelizaeus-Merzbacher disease
Orphanet:1300	Autosomal dominant popliteal pterygium syndrome
Orphanet:42775	PHACE syndrome
Orphanet:1000	Ocular albinism with late-onset sensorineural deafness
Orphanet:314389	Xq12-q13.3 duplication syndrome
Orphanet:435804	Short stature-advanced bone age-early-onset osteoarthritis syndrome
Orphanet:2228	Hypodontia-dysplasia of nails syndrome
Orphanet:2570	Holoprosencephaly-hypokinesia-congenital contractures syndrome
Orphanet:778	Rett syndrome
Orphanet:27	Vitamin B12-unresponsive methylmalonic acidemia
Orphanet:1309	Medullary sponge kidney
Orphanet:166113	Bazex syndrome
Orphanet:1010	Autosomal dominant palmoplantar keratoderma and congenital alopecia
Orphanet:84	Fanconi anemia
Orphanet:1703	Mosaic trisomy 14
Orphanet:841	Sebocystomatosis
Orphanet:174	Metaphyseal chondrodysplasia, Schmid type
Orphanet:90695	Panhypopituitarism
Orphanet:85201	Genitopatellar syndrome
Orphanet:351	Galactosialidosis
Orphanet:306	Benign familial infantile epilepsy
Orphanet:1381	Cataract-intellectual disability-anal atresia-urinary defects syndrome
Orphanet:89840	Junctional epidermolysis bullosa, non-Herlitz type
Orphanet:158025	Hereditary progressive mucinous histiocytosis
Orphanet:3331	Bowed tibiae-radial anomalies-osteopenia-fractures syndrome
Orphanet:2645	Osteoglophonic dwarfism
Orphanet:32960	Tumor necrosis factor receptor 1 associated periodic syndrome
Orphanet:464	Incontinentia pigmenti
Orphanet:65282	Woolly hair-palmoplantar keratoderma-dilated cardiomyopathy syndrome
Orphanet:1170	Autosomal recessive cerebelloparenchymal disorder type 3
Orphanet:157965	Ehlers-Danlos syndrome, spondylocheirodysplastic type
Orphanet:2185	Congenital hydrocephalus
Orphanet:2044	Floating-Harbor syndrome
Orphanet:99736	Acetazolamide-responsive myotonia
Orphanet:99748	Pontiac fever
Orphanet:140933	Linear atrophoderma of Moulin
Orphanet:1597	Distal monosomy 17q
Orphanet:1759	Thoraco-abdominal enteric duplication
Orphanet:63260	Craniorachischisis
Orphanet:79408	Severe generalized recessive dystrophic epidermolysis bullosa
Orphanet:261524	Paternal uniparental disomy of chromosome X
Orphanet:29207	Reactive arthritis
Orphanet:63259	Iniencephaly
Orphanet:369873	Obesity due to SIM1 deficiency
Orphanet:209981	IRIDA syndrome
Orphanet:584	Mucopolysaccharidosis type 7
Orphanet:861	Treacher-Collins syndrome
Orphanet:98880	Familial afibrinogenemia
Orphanet:3085	Retinitis pigmentosa-intellectual disability-deafness-hypogenitalism syndrome
Orphanet:324964	Chronic recurrent multifocal osteomyelitis
Orphanet:49804	Lichen amyloidosis
Orphanet:650	LCAT deficiency
Orphanet:2749	Oromandibular-limb hypogenesis syndrome
Orphanet:93352	Spondyloepimetaphyseal dysplasia, Shohat type
Orphanet:377	Gorlin syndrome
Orphanet:968	Acromesomelic dysplasia, Hunter-Thompson type
Orphanet:1918	Fetal minoxidil syndrome
Orphanet:765	Pyruvate dehydrogenase deficiency
Orphanet:1412	Tarsal-carpal coalition syndrome
Orphanet:2884	Piebaldism
Orphanet:144	Lynch syndrome
Orphanet:1493	Vici syndrome
Orphanet:36412	Hypocomplementemic urticarial vasculitis
Orphanet:79410	Pretibial dystrophic epidermolysis bullosa
Orphanet:2298	Insulin-resistance syndrome type B
Orphanet:1452	Cleidocranial dysplasia
Orphanet:1349	Maternally-inherited cardiomyopathy and hearing loss
Orphanet:2970	Prune belly syndrome
Orphanet:69126	Pyogenic arthritis-pyoderma gangrenosum-acne syndrome
Orphanet:573	Monilethrix
Orphanet:251014	2q31.1 microdeletion syndrome
Orphanet:1104	Anophthalmia plus syndrome
Orphanet:90307	Parkes Weber syndrome
Orphanet:201	Cowden syndrome
Orphanet:2374	Congenital laryngeal web
Orphanet:1318	Campomelia, Cumming type
Orphanet:2522	Microcephaly-cervical spine fusion anomalies syndrome
Orphanet:90793	Congenital adrenal hyperplasia due to 17-alpha-hydroxylase deficiency
Orphanet:99330	49,XYYYY syndrome
Orphanet:446	Neonatal hemochromatosis
Orphanet:251071	8p23.1 microdeletion syndrome
Orphanet:194	Ocular coloboma
Orphanet:168829	Primary peritoneal carcinoma
Orphanet:66631	CEDNIK syndrome
Orphanet:168486	Congenital neuronal ceroid lipofuscinosis
Orphanet:176	Non-rhizomelic chondrodysplasia punctata
Orphanet:411590	Wolfram-like syndrome
Orphanet:79282	Methylmalonic acidemia with homocystinuria, type cblC
Orphanet:2815	Spastic paraparesis-deafness syndrome
Orphanet:1237	Beemer-Ertbruggen syndrome
Orphanet:411777	Generalized eruptive keratoacanthoma
Orphanet:589	Myasthenia gravis
Orphanet:98293	Hodgkin lymphoma
Orphanet:2612	Linear nevus sebaceus syndrome
Orphanet:1113	Aphalangy-syndactyly-microcephaly syndrome
Orphanet:633	Laron syndrome
Orphanet:241	Dyschromatosis universalis
Orphanet:85170	Mesomelic dysplasia, Savarirayan type
Orphanet:85293	X-linked intellectual disability, Cabezas type
Orphanet:228390	Frontonasal dysplasia with alopecia and genital anomaly
Orphanet:352723	Attenuated Chédiak-Higashi syndrome
Orphanet:147	Carbamoyl-phosphate synthetase 1 deficiency
Orphanet:871	Familial progressive cardiac conduction defect
Orphanet:97341	Persistent placoid maculopathy
Orphanet:777	X-linked non-syndromic intellectual disability
Orphanet:93283	Spondyloepiphyseal dysplasia, Kimberley type
Orphanet:79302	Congenital bile acid synthesis defect type 3
Orphanet:1812	Ectodermal dysplasia-intellectual disability-central nervous system malformation syndrome
Orphanet:3206	Stüve-Wiedemann syndrome
Orphanet:250977	AICA-ribosiduria
Orphanet:75497	X-linked Ehlers-Danlos syndrome
Orphanet:647	Nijmegen breakage syndrome
Orphanet:881	Turner syndrome
Orphanet:39041	Omenn syndrome
Orphanet:168563	46,XY gonadal dysgenesis-motor and sensory neuropathy syndrome
Orphanet:1940	Shoulder and thorax deformity-congenital heart disease syndrome
Orphanet:2956	Prata-Liberal-Goncalves syndrome
Orphanet:50809	Talo-patello-scaphoid osteolysis
Orphanet:110	Bardet-Biedl syndrome
Orphanet:25	Glutaryl-CoA dehydrogenase deficiency
Orphanet:15	Achondroplasia
