orphanet_code	orphanet_term	orphanet_gene_id	gene_orphanumber	gene_name	gene_type	gene_symbol	dga_type	dga_status
DOID:0050461	Aspartylglucosaminuria	15470	119513	aspartylglucosaminidase	gene with protein product	AGA	Disease-causing germline mutation(s) in	Assessed
DOID:0050441	Multiple sulfatase deficiency	15570	119899	sulfatase modifying factor 1	gene with protein product	SUMF1	Disease-causing germline mutation(s) in	Assessed
DOID:3633	Beta-mannosidosis	16375	123131	mannosidase beta	gene with protein product	MANBA	Disease-causing germline mutation(s) in	Assessed
DOID:0060274	Pontocerebellar hypoplasia type 5	17741	168268	tRNA splicing endonuclease subunit 54	gene with protein product	TSEN54	Disease-causing germline mutation(s) in	Assessed
DOID:0060273	Pontocerebellar hypoplasia type 4	17741	168268	tRNA splicing endonuclease subunit 54	gene with protein product	TSEN54	Disease-causing germline mutation(s) in	Assessed
DOID:0060275	Pontocerebellar hypoplasia type 6	17331	159426	arginyl-tRNA synthetase 2, mitochondrial	gene with protein product	RARS2	Disease-causing germline mutation(s) in	Assessed
DOID:0050464	Farber disease	15956	121449	N-acylsphingosine amidohydrolase 1	gene with protein product	ASAH1	Disease-causing germline mutation(s) in	Assessed
DOID:14500	Fucosidosis	16082	121963	fucosidase, alpha-L- 1, tissue	gene with protein product	FUCA1	Disease-causing germline mutation(s) in	Assessed
DOID:2748	Glycogen storage disease due to glycogen debranching enzyme deficiency	15472	119523	amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase	gene with protein product	AGL	Disease-causing germline mutation(s) in	Assessed
DOID:2746	Glycogen storage disease due to muscle glycogen phosphorylase deficiency	15177	118182	glycogen phosphorylase, muscle associated	gene with protein product	PYGM	Disease-causing germline mutation(s) in	Assessed
DOID:11721	Glycogen storage disease due to muscle phosphofructokinase deficiency	16649	124223	phosphofructokinase, muscle	gene with protein product	PFKM	Disease-causing germline mutation(s) in	Assessed
DOID:2754	Glycogen storage disease due to liver glycogen phosphorylase deficiency	15176	118180	glycogen phosphorylase L	gene with protein product	PYGL	Disease-causing germline mutation(s) in	Assessed
DOID:0060284	Paroxysmal nocturnal hemoglobinuria	19197	231527	phosphatidylinositol glycan anchor biosynthesis class A	gene with protein product	PIGA	Disease-causing somatic mutation(s) in	Assessed
DOID:0080070	Mucolipidosis type II	16152	122216	N-acetylglucosamine-1-phosphate transferase alpha and beta subunits	gene with protein product	GNPTAB	Disease-causing germline mutation(s) (loss of function) in	Assessed
DOID:1700	Recessive X-linked ichthyosis	15566	119888	steroid sulfatase	gene with protein product	STS	Disease-causing germline mutation(s) in	Assessed
DOID:12803	Mucopolysaccharidosis type 7	16179	122352	glucuronidase beta	gene with protein product	GUSB	Disease-causing germline mutation(s) in	Assessed
DOID:12705	Friedreich ataxia	16083	121965	frataxin	gene with protein product	FXN	Disease-causing germline mutation(s) (loss of function) in	Assessed
DOID:1485	Cystic fibrosis	15441	119382	cystic fibrosis transmembrane conductance regulator	gene with protein product	CFTR	Disease-causing germline mutation(s) (loss of function) in	Assessed
DOID:1485	Cystic fibrosis	15606	120047	transforming growth factor beta 1	gene with protein product	TGFB1	Modifying germline mutation in	Assessed
DOID:1485	Cystic fibrosis	21303	308262	dynactin subunit 4	gene with protein product	DCTN4	Modifying germline mutation in	Assessed
DOID:1485	Cystic fibrosis	22162	353921	chloride channel accessory 4	gene with protein product	CLCA4	Modifying germline mutation in	Assessed
DOID:1485	Cystic fibrosis	22536	371333	syntaxin 1A	gene with protein product	STX1A	Modifying germline mutation in	Assessed
DOID:3687	MELAS	16471	123512	mitochondrially encoded cytochrome c oxidase I	gene with protein product	MT-CO1	Disease-causing germline mutation(s) in	Assessed
DOID:3687	MELAS	16472	123516	mitochondrially encoded cytochrome c oxidase II	gene with protein product	MT-CO2	Disease-causing germline mutation(s) in	Assessed
DOID:3687	MELAS	16473	123520	mitochondrially encoded cytochrome c oxidase III	gene with protein product	MT-CO3	Candidate gene tested in	Not yet assessed
DOID:3687	MELAS	16478	123537	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1	gene with protein product	MT-ND1	Disease-causing germline mutation(s) in	Assessed
DOID:3687	MELAS	16481	123552	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4	gene with protein product	MT-ND4	Disease-causing germline mutation(s) in	Assessed
DOID:3687	MELAS	16483	123562	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5	gene with protein product	MT-ND5	Disease-causing germline mutation(s) in	Assessed
DOID:3687	MELAS	16484	123567	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6	gene with protein product	MT-ND6	Disease-causing germline mutation(s) in	Assessed
DOID:3687	MELAS	16841	138895	mitochondrially encoded tRNA leucine 1 (UUA/G)	Non-coding RNA	MT-TL1	Disease-causing germline mutation(s) in	Assessed
DOID:3687	MELAS	16844	138906	mitochondrially encoded tRNA glutamine	Non-coding RNA	MT-TQ	Candidate gene tested in	Not yet assessed
DOID:3687	MELAS	17473	160307	mitochondrially encoded tRNA tryptophan	Non-coding RNA	MT-TW	Disease-causing germline mutation(s) in	Assessed
DOID:3687	MELAS	17671	166766	mitochondrially encoded tRNA histidine	Non-coding RNA	MT-TH	Candidate gene tested in	Not yet assessed
DOID:3687	MELAS	17722	167901	mitochondrially encoded tRNA serine 1 (UCN)	Non-coding RNA	MT-TS1	Disease-causing germline mutation(s) in	Assessed
DOID:3687	MELAS	17723	167905	mitochondrially encoded tRNA serine 2 (AGU/C)	Non-coding RNA	MT-TS2	Candidate gene tested in	Not yet assessed
DOID:3687	MELAS	17724	167909	mitochondrially encoded tRNA phenylalanine	Non-coding RNA	MT-TF	Disease-causing germline mutation(s) in	Assessed
DOID:11727	Facioscapulohumeral dystrophy	15901	121239	double homeobox 4 like 1	gene with protein product	DUX4L1	Candidate gene tested in	Not yet assessed
DOID:11727	Facioscapulohumeral dystrophy	16073	121930	FSHD region gene 1	gene with protein product	FRG1	Candidate gene tested in	Not yet assessed
DOID:11727	Facioscapulohumeral dystrophy	21703	320176	structural maintenance of chromosomes flexible hinge domain containing 1	gene with protein product	SMCHD1	Disease-causing germline mutation(s) in	Assessed
DOID:11727	Facioscapulohumeral dystrophy	21703	320176	structural maintenance of chromosomes flexible hinge domain containing 1	gene with protein product	SMCHD1	Modifying germline mutation in	Assessed
