orphanet_code	orphanet_term	hp_code	hp_term
DOID:10923	Sickle cell anemia	HP:0004870	Chronic hemolytic anemia
DOID:10923	Sickle cell anemia	HP:0001878	Hemolytic anemia
DOID:10923	Sickle cell anemia	HP:0002719	Recurrent infections
DOID:10923	Sickle cell anemia	HP:0012531	Pain
DOID:10923	Sickle cell anemia	HP:0000939	Osteoporosis
DOID:10923	Sickle cell anemia	HP:0001743	Abnormality of the spleen
DOID:10923	Sickle cell anemia	HP:0001891	Iron deficiency anemia
DOID:10923	Sickle cell anemia	HP:0001894	Thrombocytosis
DOID:10923	Sickle cell anemia	HP:0001923	Reticulocytosis
DOID:10923	Sickle cell anemia	HP:0001974	Leukocytosis
DOID:10923	Sickle cell anemia	HP:0002754	Osteomyelitis
DOID:10923	Sickle cell anemia	HP:0010885	Aseptic necrosis
DOID:10923	Sickle cell anemia	HP:0011981	Pigment gallstones
DOID:10923	Sickle cell anemia	HP:0100749	Chest pain
DOID:10923	Sickle cell anemia	HP:0000707	Abnormality of the nervous system
DOID:10923	Sickle cell anemia	HP:0001396	Cholestasis
DOID:10923	Sickle cell anemia	HP:0002597	Abnormality of the vasculature
DOID:10923	Sickle cell anemia	HP:0003259	Elevated serum creatinine
DOID:10923	Sickle cell anemia	HP:0008282	Unconjugated hyperbilirubinemia
DOID:10923	Sickle cell anemia	HP:0011904	Persistence of hemoglobin F
DOID:10923	Sickle cell anemia	HP:0012418	Hypoxemia
DOID:10923	Sickle cell anemia	HP:0045040	Abnormal lactate dehydrogenase activity
DOID:10923	Sickle cell anemia	HP:0001931	Hypochromic anemia
DOID:10923	Sickle cell anemia	HP:0001935	Microcytic anemia
DOID:10923	Sickle cell anemia	HP:0005518	Erythrocyte macrocytosis
Orphanet:2075	Genito-palato-cardiac syndrome	HP:0000003	Multicystic kidney dysplasia
Orphanet:2075	Genito-palato-cardiac syndrome	HP:0000028	Cryptorchidism
Orphanet:2075	Genito-palato-cardiac syndrome	HP:0000037	Male pseudohermaphroditism
Orphanet:2075	Genito-palato-cardiac syndrome	HP:0000047	Hypospadias
Orphanet:2075	Genito-palato-cardiac syndrome	HP:0000175	Cleft palate
Orphanet:2075	Genito-palato-cardiac syndrome	HP:0000238	Hydrocephalus
Orphanet:2075	Genito-palato-cardiac syndrome	HP:0000252	Microcephaly
Orphanet:2075	Genito-palato-cardiac syndrome	HP:0000316	Hypertelorism
Orphanet:2075	Genito-palato-cardiac syndrome	HP:0000347	Micrognathia
Orphanet:2075	Genito-palato-cardiac syndrome	HP:0000369	Low-set ears
Orphanet:2075	Genito-palato-cardiac syndrome	HP:0000431	Wide nasal bridge
Orphanet:2075	Genito-palato-cardiac syndrome	HP:0000494	Downslanted palpebral fissures
Orphanet:2075	Genito-palato-cardiac syndrome	HP:0000776	Congenital diaphragmatic hernia
Orphanet:2075	Genito-palato-cardiac syndrome	HP:0001156	Brachydactyly syndrome
Orphanet:2075	Genito-palato-cardiac syndrome	HP:0001162	Postaxial hand polydactyly
Orphanet:2075	Genito-palato-cardiac syndrome	HP:0001511	Intrauterine growth retardation
Orphanet:2075	Genito-palato-cardiac syndrome	HP:0001671	Abnormality of the cardiac septa
Orphanet:2075	Genito-palato-cardiac syndrome	HP:0002564	Malformation of the heart and great vessels
Orphanet:2075	Genito-palato-cardiac syndrome	HP:0002650	Scoliosis
Orphanet:2075	Genito-palato-cardiac syndrome	HP:0002714	Downturned corners of mouth
Orphanet:2075	Genito-palato-cardiac syndrome	HP:0002808	Kyphosis
Orphanet:2075	Genito-palato-cardiac syndrome	HP:0005264	Abnormality of the gallbladder
Orphanet:2075	Genito-palato-cardiac syndrome	HP:0008668	Gonadal dysgenesis, male
Orphanet:2075	Genito-palato-cardiac syndrome	HP:0100016	Abnormality of the mesentery
Orphanet:2075	Genito-palato-cardiac syndrome	HP:0100335	Non-midline cleft lip
Orphanet:9	Tetrasomy X	HP:0000164	Abnormality of the teeth
Orphanet:9	Tetrasomy X	HP:0000286	Epicanthus
Orphanet:9	Tetrasomy X	HP:0000316	Hypertelorism
Orphanet:9	Tetrasomy X	HP:0000486	Strabismus
Orphanet:9	Tetrasomy X	HP:0000582	Upslanted palpebral fissure
Orphanet:9	Tetrasomy X	HP:0001156	Brachydactyly syndrome
Orphanet:9	Tetrasomy X	HP:0001252	Muscular hypotonia
Orphanet:9	Tetrasomy X	HP:0001263	Global developmental delay
Orphanet:9	Tetrasomy X	HP:0001328	Specific learning disability
Orphanet:9	Tetrasomy X	HP:0001385	Hip dysplasia
Orphanet:9	Tetrasomy X	HP:0002564	Malformation of the heart and great vessels
Orphanet:9	Tetrasomy X	HP:0002974	Radioulnar synostosis
Orphanet:9	Tetrasomy X	HP:0004209	Clinodactyly of the 5th finger
Orphanet:9	Tetrasomy X	HP:0005692	Joint hyperflexibility
Orphanet:9	Tetrasomy X	HP:0010978	Abnormality of immune system physiology
Orphanet:9	Tetrasomy X	HP:0100543	Cognitive impairment
Orphanet:9	Tetrasomy X	HP:0100805	Precocious menopause
DOID:1856	Cherubism	HP:0000164	Abnormality of the teeth
DOID:1856	Cherubism	HP:0000277	Abnormality of the mandible
DOID:1856	Cherubism	HP:0000293	Full cheeks
DOID:1856	Cherubism	HP:0000505	Visual impairment
DOID:1856	Cherubism	HP:0000520	Proptosis
DOID:1856	Cherubism	HP:0000529	Progressive visual loss
DOID:1856	Cherubism	HP:0000648	Optic atrophy
