hp_code	hp_term	mesh_code
HP:0004912	Hypophosphatemic rickets	MESH:D063730
HP:0012056	Cutaneous melanoma	MESH:D008545
HP:0002326	Transient ischemic attack	MESH:D002546
HP:0012120	Methylmalonic aciduria	MESH:C537358
HP:0002716	Lymphadenopathy	MESH:D000072281
HP:0007260	Type II lissencephaly	MESH:D054222
HP:0002310	Orofacial dyskinesia	MESH:D020820
HP:0000821	Hypothyroidism	MESH:D007037
HP:0002072	Chorea	MESH:D002819
HP:0005293	Venous insufficiency	MESH:D014689
HP:0001667	Right ventricular hypertrophy	MESH:D017380
HP:0002617	Aneurysm	MESH:D000783
HP:0003418	Back pain	MESH:D001416
HP:0100678	Premature skin wrinkling	MESH:D015595
HP:0001737	Pancreatic cysts	MESH:D010181
HP:0001649	Tachycardia	MESH:D013610
HP:0006498	Aplasia/Hypoplasia of the patella	MESH:C535568
HP:0008843	Hip osteoarthritis	MESH:D015207
HP:0001941	Acidosis	MESH:D000138
HP:0011712	Right bundle branch block	MESH:D002037
HP:0008660	Renotubular dysgenesis	MESH:C537048
HP:0008765	Auditory hallucinations	MESH:D006212
HP:0002104	Apnea	MESH:D001049
HP:0001935	Microcytic anemia	MESH:C562385
HP:0001647	Bicuspid aortic valve	MESH:C562388
HP:0001112	Leber optic atrophy	MESH:D029242
HP:0012531	Pain	MESH:D010146
HP:0001596	Alopecia	MESH:D000505
HP:0001956	Truncal obesity	MESH:D056128
HP:0007968	Persistent hyperplastic primary vitreous	MESH:D054514
HP:0009373	Type C brachydactyly	MESH:C537093
HP:0000158	Macroglossia	MESH:D008260
HP:0007099	Arnold-Chiari type I malformation	MESH:D001139
HP:0000133	Gonadal dysgenesis	MESH:D006059
HP:0000133	Gonadal dysgenesis	MESH:D006060
HP:0001337	Tremor	MESH:D014202
HP:0009926	Increased lacrimation	MESH:D007766
HP:0000964	Eczema	MESH:D004485
HP:0002357	Dysphasia	MESH:D001037
HP:0100621	Dysgerminoma	MESH:D004407
HP:0030078	Lung adenocarcinoma	MESH:C538231
HP:0000488	Retinopathy	MESH:D012164
HP:0000112	Nephropathy	MESH:D007674
HP:0005725	Nonopposable triphalangeal thumb	MESH:C536562
HP:0001920	Renal artery stenosis	MESH:D012078
HP:0002999	Patellar dislocation	MESH:D031222
HP:0002090	Pneumonia	MESH:D011014
HP:0007739	Mildly reduced visual acuity	NA
HP:0003265	Neonatal hyperbilirubinemia	MESH:D051556
HP:0003777	Pili torti	MESH:C562485
HP:0003006	Neuroblastoma	MESH:D009447
HP:0012768	Neonatal asphyxia	MESH:D001238
HP:0012051	Reactive hypoglycemia	MESH:D007003
HP:0005764	Polyarticular arthritis	MESH:D001168
HP:0011970	Cerebral amyloid angiopathy	MESH:D016657
HP:0004904	Maturity-onset diabetes of the young	MESH:C562772
HP:0000853	Goiter	MESH:D006042
HP:0011106	Hypovolemia	MESH:D020896
HP:0030431	Osteochondroma	MESH:D015831
HP:0000975	Hyperhidrosis	MESH:D013546
HP:0000975	Hyperhidrosis	MESH:D006945
HP:0000185	Cleft soft palate	MESH:C562950
HP:0001057	Aplasia cutis congenita	MESH:D004476
HP:0006689	Bacterial endocarditis	MESH:D004697
HP:0009601	Aplasia/Hypoplasia of the thumb	MESH:C536903
HP:0012735	Cough	MESH:D003371
HP:0000826	Precocious puberty	MESH:D011629
HP:0002018	Nausea	MESH:D009325
HP:0030016	Dyspareunia	MESH:D004414
HP:0002446	Astrocytosis	MESH:D005911
HP:0002335	Agenesis of cerebellar vermis	MESH:C536293
HP:0000651	Diplopia	MESH:D004172
HP:0011886	Hyphema	MESH:D006988
HP:0001338	Partial agenesis of the corpus callosum	MESH:C536111
HP:0002362	Shuffling gait	MESH:D020233
HP:0001518	Small for gestational age	MESH:D007230
HP:0008110	Equinovarus deformity	MESH:D003025
HP:0100008	Schwannoma	MESH:D009442
HP:0004944	Cerebral aneurysm	MESH:D002532
HP:0012325	Chronic myelomonocytic leukemia	MESH:D015477
HP:0001772	Talipes equinovalgus	MESH:D004863
HP:0007479	Congenital nonbullous ichthyosiform erythroderma	MESH:D017490
HP:0100758	Gangrene	MESH:D005734
HP:0006511	Laryngeal stridor	MESH:D007826
HP:0001304	Torsion dystonia	MESH:D004422
HP:0007981	Concentric narrowing of visual fields	NA
HP:0000522	Alacrima	MESH:C562827
HP:0001254	Lethargy	MESH:D053609
HP:0001682	Subaortic stenosis	MESH:D001020
HP:0001704	Tricuspid valve prolapse	MESH:D014263
HP:0100739	Bulimia	MESH:D002032
HP:0100699	Scarring	MESH:D002921
HP:0100522	Thymoma	MESH:D013945
HP:0010497	Sirenomelia	MESH:D004480
HP:0007942	Internal ophthalmoplegia	MESH:D009886
HP:0001283	Bulbar palsy	MESH:D010244
HP:0100774	Hyperostosis	MESH:D015576
HP:0000798	Oligospermia	MESH:D009845
HP:0000805	Enuresis	MESH:D004775
HP:0011100	Intestinal atresia	MESH:D007409
HP:0000505	Visual impairment	MESH:D014786
HP:0000505	Visual impairment	MESH:D015354
HP:0004395	Malnutrition	MESH:D044342
HP:0000588	Optic nerve coloboma	MESH:C535970
HP:0003826	Stillbirth	MESH:D050497
HP:0003826	Stillbirth	MESH:D005313
HP:0006897	Cranial nerve VI palsy	MESH:C564661
HP:0006897	Cranial nerve VI palsy	MESH:D020434
HP:0002960	Autoimmunity	MESH:D001327
HP:0001257	Spasticity	MESH:D009128
HP:0001409	Portal hypertension	MESH:D006975
HP:0100256	Senile plaques	MESH:D058225
HP:0002266	Focal clonic seizures	MESH:D020938
HP:0012205	Globozoospermia	MESH:D000072660
HP:0008672	Calcium oxalate nephrolithiasis	MESH:C563477
HP:0002292	Frontal balding	MESH:D000505
HP:0001931	Hypochromic anemia	MESH:D000747
HP:0011850	Parotitis	MESH:D010309
HP:0003067	Madelung deformity	MESH:C562398
HP:0003764	Nevus	MESH:D009506
HP:0003764	Nevus	MESH:D009508
HP:0001891	Iron deficiency anemia	MESH:D018798
HP:0012324	Myeloid leukemia	MESH:D007951
HP:0001696	Situs inversus totalis	MESH:D059446
HP:0001696	Situs inversus totalis	MESH:D012857
HP:0100544	Neoplasm of the heart	MESH:D006338
HP:0003715	Myofibrillar myopathy	MESH:C580316
HP:0001012	Multiple lipomas	MESH:D008067
HP:0010302	Spinal cord tumor	MESH:D013120
HP:0001974	Leukocytosis	MESH:D007964
HP:0002721	Immunodeficiency	MESH:D007153
HP:0000643	Blepharospasm	MESH:D001764
HP:0011710	Bundle branch block	MESH:D002037
HP:0001790	Nonimmune hydrops fetalis	MESH:D015160
HP:0012534	Dysesthesia	MESH:D010292
HP:0000070	Ureterocele	MESH:D014518
HP:0012290	Mouth neoplasm	MESH:D009062
HP:0002655	Spondyloepiphyseal dysplasia	MESH:D010009
HP:0000863	Central diabetes insipidus	MESH:D020790
HP:0000083	Renal insufficiency	MESH:D051437
HP:0001601	Laryngomalacia	MESH:D055092
HP:0001159	Syndactyly	MESH:D013576
HP:0002777	Tracheal stenosis	MESH:D014135
HP:0001605	Vocal cord paralysis	MESH:D014826
HP:0004381	Supravalvular aortic stenosis	MESH:D021921
HP:0100022	Abnormality of movement	MESH:D009069
HP:0000243	Trigonocephaly	MESH:D003398
HP:0008222	Female infertility	MESH:D007247
HP:0001706	Endocardial fibroelastosis	MESH:D004695
HP:0003560	Muscular dystrophy	MESH:D009136
HP:0001673	Tachycardia (with pheochromocytoma)	NA
HP:0005235	Jejunal atresia	MESH:D007409
HP:0001650	Aortic valve stenosis	MESH:D001024
HP:0003348	Hyperalaninemia	MESH:C562684
HP:0002093	Respiratory insufficiency	MESH:D012131
HP:0008213	Gonadotropin deficiency	MESH:D007006
HP:0003002	Breast carcinoma	MESH:D001943
HP:0003811	Neonatal death	MESH:D066087
HP:0100584	Endocarditis	MESH:D004696
HP:0001901	Polycythemia	MESH:D011086
HP:0011986	Ectopic ossification	MESH:D009999
HP:0011999	Paranoia	MESH:D010259
HP:0010628	Facial palsy	MESH:D020330
HP:0010628	Facial palsy	MESH:D005158
HP:0009071	Inflammatory myopathy	MESH:D009220
HP:0002396	Cogwheel rigidity	MESH:D009127
HP:0007939	Blue cone monochromacy	MESH:C536238
HP:0009778	Short thumb	MESH:C536903
HP:0004467	Preauricular pit	MESH:C563015
HP:0002666	Pheochromocytoma	MESH:D010673
HP:0100517	Neoplasm of the urethra	MESH:D014523
HP:0002927	Histidinuria	MESH:C538321
HP:0001943	Hypoglycemia	MESH:D007003
HP:0010286	Abnormality of the salivary glands	MESH:D012466
HP:0002435	Meningocele	MESH:D008588
HP:0005162	Left ventricular failure	MESH:D006333
HP:0100647	Graves disease	MESH:D006111
HP:0004820	Acute myelomonocytic leukemia	MESH:D015479
HP:0004370	Abnormality of temperature regulation	MESH:D001832
HP:0002323	Anencephaly	MESH:D000757
HP:0000246	Sinusitis	MESH:D012852
HP:0000246	Sinusitis	MESH:D010254
HP:0009792	Teratoma	MESH:D013724
HP:0005180	Tricuspid regurgitation	MESH:D014262
HP:0002913	Myoglobinuria	MESH:D009212
HP:0000820	Abnormality of the thyroid gland	MESH:D013959
HP:0002121	Absence seizures	MESH:D004832
HP:0008368	Tarsal synostosis	MESH:D000070604
HP:0000509	Conjunctivitis	MESH:D003231
HP:0004099	Macrodactyly	MESH:C562546
HP:0010799	Pinealoma	MESH:D010871
HP:0000498	Blepharitis	MESH:D001762
HP:0002516	Increased intracranial pressure	MESH:D019586
HP:0100727	Histiocytosis	MESH:D015614
HP:0001562	Oligohydramnios	MESH:D016104
HP:0002308	Arnold-Chiari malformation	MESH:D001139
HP:0001094	Iridocyclitis	MESH:D015863
HP:0000646	Amblyopia	MESH:D000550
HP:0010734	Fibrous dysplasia of the bones	MESH:D005357
HP:0100658	Cellulitis	MESH:D017192
HP:0100658	Cellulitis	MESH:D002481
HP:0012027	Laryngeal edema	MESH:D007819
HP:0002639	Budd-Chiari syndrome	MESH:D006502
HP:0002148	Hypophosphatemia	MESH:D017674
HP:0007185	Loss of consciousness	MESH:D014474
HP:0100580	Barrett esophagus	MESH:D001471
HP:0000678	Dental crowding	MESH:D008310
HP:0010772	Anomalous pulmonary venous return	MESH:D012587
HP:0009732	Plexiform neurofibroma	MESH:D018318
HP:0001513	Obesity	MESH:D009765
HP:0002480	Hepatic encephalopathy	MESH:D006501
HP:0004445	Elliptocytosis	MESH:D004612
HP:0100259	Postaxial polydactyly	MESH:C562429
HP:0002315	Headache	MESH:D006261
HP:0000870	Prolactin excess	MESH:D006966
HP:0002014	Diarrhea	MESH:D003967
HP:0200040	Epidermoid cyst	MESH:D004814
HP:0001636	Tetralogy of Fallot	MESH:D013771
HP:0001987	Hyperammonemia	MESH:D022124
HP:0002036	Hiatus hernia	MESH:D006551
HP:0002974	Radioulnar synostosis	MESH:C562408
