hp_code	hp_term	mesh_code	mesh_term
HP:0004912	Hypophosphatemic rickets	NA	NA
HP:0000712	Emotional lability	NA	NA
HP:0012056	Cutaneous melanoma	D008545	Melanomas, Malignant
HP:0003549	Abnormality of connective tissue	NA	NA
HP:0100752	Abnormal liver lobulation	NA	NA
HP:0002326	Transient ischemic attack	NA	NA
HP:0012795	Abnormality of the optic disc	NA	NA
HP:0004122	Midline defect of the nose	NA	NA
HP:0009099	Median cleft palate	NA	NA
HP:0009939	Mandibular aplasia	NA	NA
HP:0001769	Broad foot	NA	NA
HP:0012120	Methylmalonic aciduria	NA	NA
HP:0001204	Distal symphalangism (hands)	NA	NA
HP:0002716	Lymphadenopathy	NA	NA
HP:0007260	Type II lissencephaly	NA	NA
HP:0011971	Dermatographic urticaria	NA	NA
HP:0002310	Orofacial dyskinesia	NA	NA
HP:0100362	Aplasia of the phalanges of the 3rd toe	NA	NA
HP:0000821	Hypothyroidism	D007037	Hypothyroidisms
HP:0030126	Abnormality of the endometrium	NA	NA
HP:0002072	Chorea	NA	NA
HP:0012675	Iron accumulation in brain	NA	NA
HP:0003613	Antiphospholipid antibody positivity	NA	NA
HP:0005293	Venous insufficiency	D014689	Insufficiency, Venous
HP:0009025	Increased connective tissue	NA	NA
HP:0005576	Tubulointerstitial fibrosis	NA	NA
HP:0005879	Congenital finger flexion contractures	NA	NA
HP:0005425	Recurrent sinopulmonary infections	NA	NA
HP:0001667	Right ventricular hypertrophy	D017380	Ventricular Hypertrophies, Right
HP:0002617	Aneurysm	NA	NA
HP:0000054	Micropenis	NA	NA
HP:0012292	Fusion of gums	NA	NA
HP:0003418	Back pain	NA	NA
HP:0100678	Premature skin wrinkling	NA	NA
HP:0001737	Pancreatic cysts	NA	NA
HP:0006492	Aplasia/Hypoplasia of the fibula	NA	NA
HP:0001649	Tachycardia	NA	NA
HP:0100261	Abnormal tendon morphology	NA	NA
HP:0011759	Pituitary gonadotropic cell adenoma	NA	NA
HP:0006498	Aplasia/Hypoplasia of the patella	NA	NA
HP:0011817	Basal encephalocele	NA	NA
HP:0006603	Flared, irregular rib ends	NA	NA
HP:0011040	Abnormality of the intrahepatic bile duct	NA	NA
HP:0008843	Hip osteoarthritis	D015207	Osteoarthritis Of Hips
HP:0006499	Abnormality of femoral epiphysis	NA	NA
HP:0001941	Acidosis	NA	NA
HP:0011712	Right bundle branch block	NA	NA
HP:0010751	Chin dimple	NA	NA
HP:0000786	Primary amenorrhea	NA	NA
HP:0200129	Calcific mitral stenosis	NA	NA
HP:0000882	Hypoplastic scapulae	NA	NA
HP:0008660	Renotubular dysgenesis	C537048	Allanson Pantzar McLeod syndrome
HP:0008765	Auditory hallucinations	NA	NA
HP:0002104	Apnea	D001049	Apneas
HP:0000625	Cleft eyelid	NA	NA
HP:0001003	Multiple lentigines	NA	NA
HP:0100444	Curved middle phalanx of the 4th toe	NA	NA
HP:0000799	Renal steatosis	NA	NA
HP:0002572	Episodic vomiting	NA	NA
HP:0001935	Microcytic anemia	C562385	Iron-Refractory Iron Deficiency Anemia
HP:0001647	Bicuspid aortic valve	C562388	Bicuspid Aortic Valve
HP:0004218	Symphalangism of the 5th finger	NA	NA
HP:0001112	Leber optic atrophy	D029242	Neuroretinopathy, Hereditary Optic
HP:0012531	Pain	NA	NA
HP:0001596	Alopecia	NA	NA
HP:0010644	Midnasal stenosis	NA	NA
HP:0010582	Irregular epiphyses	NA	NA
HP:0000471	Gastrointestinal angiodysplasia	NA	NA
HP:0005616	Accelerated skeletal maturation	NA	NA
HP:0007665	Curly eyelashes	NA	NA
HP:0001956	Truncal obesity	NA	NA
HP:0008437	Bifid thoracic vertebrae	NA	NA
HP:0005819	Short middle phalanx of finger	NA	NA
HP:0007968	Persistent hyperplastic primary vitreous	D054514	Persistent Hyaloid Vasculatures
HP:0012224	Circulating immune complexes	NA	NA
HP:0008230	Decreased testosterone in males	NA	NA
HP:0009373	Type C brachydactyly	C537093	Brachydactyly type C
HP:0009794	Branchial anomaly	NA	NA
HP:0040264	Jaw pain	NA	NA
HP:0004918	Hyperchloremic metabolic acidosis	NA	NA
HP:0008833	Irregular acetabular roof	NA	NA
HP:0000676	Abnormality of the incisor	NA	NA
HP:0000134	Female hypogonadism	NA	NA
HP:0006011	Cuboidal metacarpal	NA	NA
HP:3000005	Abnormality of masseter muscle	NA	NA
HP:0007574	Generalized bronze hyperpigmentation	NA	NA
HP:0000158	Macroglossia	D008260	Macroglossias
HP:0007099	Arnold-Chiari type I malformation	NA	NA
HP:0000133	Gonadal dysgenesis	NA	NA
HP:0002944	Thoracolumbar scoliosis	NA	NA
HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis	NA	NA
HP:0006919	Abnormal aggressive, impulsive or violent behavior	NA	NA
HP:0100816	Lip hyperpigmentation	NA	NA
HP:0011305	Partial absence of toe	NA	NA
HP:0002111	Restrictive respiratory insufficiency	NA	NA
HP:0011766	Abnormality of the parathyroid morphology	NA	NA
HP:0010866	Abdominal wall defect	NA	NA
HP:0003149	Hyperuricosuria	NA	NA
HP:0006413	Broad tibial metaphyses	NA	NA
HP:0008696	Renal hamartoma	NA	NA
HP:0002224	Woolly hair	NA	NA
HP:0001337	Tremor	NA	NA
HP:0011227	Elevated C-reactive protein level	NA	NA
HP:0100864	Short femoral neck	NA	NA
HP:0011364	White hair	NA	NA
HP:0009926	Increased lacrimation	NA	NA
HP:0000964	Eczema	D004485	Eczematous Dermatitis
HP:0001266	Choreoathetosis	NA	NA
HP:0001138	Optic neuropathy	NA	NA
