symptom_id	symptom_name
MESH:D000006	Abdomen, Acute
MESH:D000270	Adie Syndrome
MESH:D000326	Adrenoleukodystrophy
MESH:D000334	Aerophagy
HP:0000224	Ageusia
HP:0030222	Agnosia
HP:0010525	Agnosia
HP:0010527	Agnosia
HP:0010524	Agnosia
HP:0010526	Agraphia
HP:0012592	Albuminuria
MESH:D000425	Alcohol Amnestic Disorder
HP:0001950	Alkalosis, Respiratory
HP:0000646	Amblyopia
MESH:D000647	Amnesia
MESH:D000648	Amnesia, Retrograde
HP:0001681	Angina Pectoris
MESH:D000788	Angina Pectoris, Variant
MESH:D000789	Angina, Unstable
HP:0030784	Anomia
HP:0002039	Anorexia
HP:0000458	Olfaction Disorders
HP:0012418	Anoxia
HP:0002357	Aphasia
HP:0002381	Aphasia
HP:0002427	Aphasia, Broca
MESH:D001041	Aphasia, Wernicke
HP:0001686	Aphonia
HP:0002104	Apnea
HP:0002186	Apraxias
HP:0011098	Apraxias
MESH:D001184	Articulation Disorders
MESH:D001247	Asthenia
HP:0010867	Ataxia
HP:0002078	Ataxia
HP:0010871	Ataxia
HP:0030665	Ataxia
HP:0002311	Ataxia
HP:0002070	Ataxia
MESH:D001260	Ataxia Telangiectasia
HP:0002305	Athetosis
MESH:D001308	Auditory Perceptual Disorders
HP:0003418	Back Pain
MESH:D001724	Birth Weight
HP:0000011	Urinary Bladder, Neurogenic
HP:0000618	Blindness
HP:0004370	Body Temperature Changes
MESH:D001835	Body Weight
MESH:D001836	Body Weight Changes
MESH:D001926	Brain Death
HP:0100739	Bulimia
HP:0004326	Cachexia
MESH:D002303	Cardiac Output, Low
MESH:D002375	Catalepsy
HP:0002524	Cataplexy
MESH:D002389	Catatonia
MESH:D002422	Causalgia
HP:0001310	Cerebellar Ataxia
HP:0001251	Cerebellar Ataxia
MESH:D002558	Cerebrospinal Fluid Otorrhea
MESH:D002559	Cerebrospinal Fluid Rhinorrhea
HP:0100749	Chest Pain
HP:0012196	Cheyne-Stokes Respiration
HP:0007166	Chorea
HP:0002072	Chorea
HP:0011887	Choroid Hemorrhage
HP:0011848	Colic
HP:0000552	Color Vision Defects
HP:0000551	Color Vision Defects
HP:0007803	Color Vision Defects
HP:0000642	Color Vision Defects
HP:0011520	Color Vision Defects
HP:0011521	Color Vision Defects
HP:0200018	Color Vision Defects
HP:0011522	Color Vision Defects
HP:0001259	Coma
MESH:D003147	Communication Disorders
HP:0001289	Confusion
MESH:D003244	Consciousness Disorders
HP:0002019	Constipation
HP:0012423	Constipation
HP:0012735	Cough
MESH:D003410	Cri-du-Chat Syndrome
HP:0000961	Cyanosis
MESH:D003635	De Lange Syndrome
HP:0000365	Deafness
MESH:D003639	Hearing Loss, Sudden
HP:0011444	Decerebrate State
MESH:D003693	Delirium
HP:0002014	Diarrhea
MESH:D003968	Diarrhea, Infantile
HP:0000651	Diplopia
HP:0002321	Dizziness
MESH:D004314	Down Syndrome
HP:0001260	Dysarthria
HP:0002464	Dysarthria
MESH:D004408	Dysgeusia
MESH:D004409	Dyskinesia, Drug-Induced
HP:0010522	Dyslexia
HP:0010523	Dyslexia
